Year,Month,Day,Hour,Minute,Second,HYY_META.T336
2022,01,04,02,00,00,-6.94433
2022,01,04,02,30,00,-6.913
2022,01,04,03,00,00,-6.87733
2022,01,04,03,30,00,-6.85033
2022,01,04,04,00,00,-6.84967
2022,01,04,04,30,00,-6.817
2022,01,04,05,00,00,-6.779
2022,01,04,05,30,00,-6.74567
2022,01,04,06,00,00,-6.7
2022,01,04,06,30,00,-6.68633
2022,01,04,07,00,00,-6.69367
2022,01,04,07,30,00,-6.72167
2022,01,04,08,00,00,-6.70633
2022,01,04,08,30,00,-6.66967
2022,01,04,09,00,00,-6.59767
2022,01,04,09,30,00,-6.541
2022,01,04,10,00,00,-6.48433
2022,01,04,10,30,00,-6.39667
2022,01,04,11,00,00,-6.33867
2022,01,04,11,30,00,-6.274
2022,01,04,12,00,00,-6.21467
2022,01,04,12,30,00,-6.103
2022,01,04,13,00,00,-6.01967
2022,01,04,13,30,00,-5.95667
2022,01,04,14,00,00,-5.86767
2022,01,04,14,30,00,-5.77967
2022,01,04,15,00,00,-5.69
2022,01,04,15,30,00,-5.603
2022,01,04,16,00,00,-5.54433
2022,01,04,16,30,00,-5.48267
2022,01,04,17,00,00,-5.33
2022,01,04,17,30,00,-5.303
2022,01,04,18,00,00,-5.20033
2022,01,04,18,30,00,-4.99833
2022,01,04,19,00,00,-4.68867
2022,01,04,19,30,00,-4.39633
2022,01,04,20,00,00,-4.10333
2022,01,04,20,30,00,-3.70767
2022,01,04,21,00,00,-3.53867
2022,01,04,21,30,00,-3.448
2022,01,04,22,00,00,-3.396
2022,01,04,22,30,00,-3.26167
2022,01,04,23,00,00,-3.08733
2022,01,04,23,30,00,-2.91367
2022,01,05,00,00,00,-2.812
2022,01,05,00,30,00,-2.75
2022,01,05,01,00,00,-2.684
2022,01,05,01,30,00,-2.551
2022,01,05,02,00,00,-2.35333
2022,01,05,02,30,00,-2.21867
2022,01,05,03,00,00,-2.09133
2022,01,05,03,30,00,-1.96767
2022,01,05,04,00,00,-1.80667
2022,01,05,04,30,00,-1.79567
2022,01,05,05,00,00,-1.76933
2022,01,05,05,30,00,-1.833
2022,01,05,06,00,00,-1.90533
2022,01,05,06,30,00,-1.81633
2022,01,05,07,00,00,-1.70467
2022,01,05,07,30,00,-1.65333
2022,01,05,08,00,00,-1.63833
2022,01,05,08,30,00,-1.63
2022,01,05,09,00,00,-1.70433
2022,01,05,09,30,00,-1.904
2022,01,05,10,00,00,-2.163
2022,01,05,10,30,00,-2.31233
2022,01,05,11,00,00,-2.336
2022,01,05,11,30,00,-2.43067
2022,01,05,12,00,00,-2.66067
2022,01,05,12,30,00,-2.89567
2022,01,05,13,00,00,-3.18633
2022,01,05,13,30,00,-3.27833
2022,01,05,14,00,00,-3.19367
2022,01,05,14,30,00,-3.083
2022,01,05,15,00,00,-3.037
2022,01,05,15,30,00,-3.00033
2022,01,05,16,00,00,-2.996
2022,01,05,16,30,00,-3.007
2022,01,05,17,00,00,-3.03133
2022,01,05,17,30,00,-2.99667
2022,01,05,18,00,00,-3.01567
2022,01,05,18,30,00,-3.02633
2022,01,05,19,00,00,-2.96167
2022,01,05,19,30,00,-2.94633
2022,01,05,20,00,00,-3.01233
2022,01,05,20,30,00,-3.02033
2022,01,05,21,00,00,-3.046
2022,01,05,21,30,00,-3.032
2022,01,05,22,00,00,-3.08233
2022,01,05,22,30,00,-3.14733
2022,01,05,23,00,00,-3.29533
2022,01,05,23,30,00,-3.80633
2022,01,06,00,00,00,-4.62133
2022,01,06,00,30,00,-5.63167
2022,01,06,01,00,00,-6.62533
2022,01,06,01,30,00,-7.686
2022,01,06,02,00,00,-8.21267
2022,01,06,02,30,00,-8.63667
2022,01,06,03,00,00,-9.033
2022,01,06,03,30,00,-9.19833
2022,01,06,04,00,00,-9.295
2022,01,06,04,30,00,-9.615
2022,01,06,05,00,00,-9.70233
2022,01,06,05,30,00,-9.81733
2022,01,06,06,00,00,-9.93467
2022,01,06,06,30,00,-10.02267
2022,01,06,07,00,00,-10.088
2022,01,06,07,30,00,-9.887
2022,01,06,08,00,00,-9.55867
2022,01,06,08,30,00,-9.29667
2022,01,06,09,00,00,-9.08233
2022,01,06,09,30,00,-8.835
2022,01,06,10,00,00,-8.716
2022,01,06,10,30,00,-8.62133
2022,01,06,11,00,00,-8.53
2022,01,06,11,30,00,-8.44633
2022,01,06,12,00,00,-8.433
2022,01,06,12,30,00,-8.277
2022,01,06,13,00,00,-7.98867
2022,01,06,13,30,00,-7.92367
2022,01,06,14,00,00,-8.14667
2022,01,06,14,30,00,-8.608
2022,01,06,15,00,00,-9.22333
2022,01,06,15,30,00,-9.74667
2022,01,06,16,00,00,-10.299
2022,01,06,16,30,00,-10.57233
2022,01,06,17,00,00,-10.825
2022,01,06,17,30,00,-10.82
2022,01,06,18,00,00,-10.221
2022,01,06,18,30,00,-9.53233
2022,01,06,19,00,00,-9.51433
2022,01,06,19,30,00,-9.47067
2022,01,06,20,00,00,-9.35967
2022,01,06,20,30,00,-9.092
2022,01,06,21,00,00,-8.87133
2022,01,06,21,30,00,-8.93467
2022,01,06,22,00,00,-9.14467
2022,01,06,22,30,00,-9.69033
2022,01,06,23,00,00,-10.642
2022,01,06,23,30,00,-11.046
2022,01,07,00,00,00,-11.382
2022,01,07,00,30,00,-11.669
2022,01,07,01,00,00,-11.99933
2022,01,07,01,30,00,-12.11933
