,mean,median,std,5 %,95 %
SO2,0.25,0.209,0.131,0.209,0.518
relative_humidity,67.0,67.867,22.356,67.867,97.451
temp_K,280.719,282.048,10.578,282.048,296.556
CS_rate,0.0056,0.0050,0.0033,0.0050,0.012
UVB,0.205,0.108,0.228,0.108,0.706
SA_cm3,2.52e+06,1.68e+06,2.61e+06,1.68e+06,7.86e+06
