Year,Month,Day,Hour,Minute,Second,HYY_META.Pamb0
2011,01,04,06,00,00,989.309
2011,01,04,06,30,00,989.375
2011,01,04,07,00,00,989.62967
2011,01,04,07,30,00,989.89067
2011,01,04,08,00,00,990.04233
2011,01,04,08,30,00,990.36967
2011,01,04,09,00,00,990.64267
2011,01,04,09,30,00,990.79933
2011,01,04,10,00,00,991.24067
2011,01,04,10,30,00,991.42867
2011,01,04,11,00,00,991.42533
2011,01,04,11,30,00,991.486
2011,01,04,12,00,00,991.604
2011,01,04,12,30,00,991.695
2011,01,04,13,00,00,991.72467
2011,01,04,13,30,00,991.88367
2011,01,04,14,00,00,991.93067
2011,01,04,14,30,00,992.01067
2011,01,04,15,00,00,992.24533
2011,01,04,15,30,00,992.36033
2011,01,04,16,00,00,992.41633
2011,01,04,16,30,00,992.68133
2011,01,04,17,00,00,992.85033
2011,01,04,17,30,00,992.965
2011,01,04,18,00,00,992.95467
2011,01,04,18,30,00,993.052
2011,01,04,19,00,00,993.26667
2011,01,04,19,30,00,993.42733
2011,01,04,20,00,00,993.59333
2011,01,04,20,30,00,993.648
2011,01,04,21,00,00,993.77833
2011,01,04,21,30,00,993.88967
2011,01,04,22,00,00,993.96767
2011,01,04,22,30,00,994.061
2011,01,04,23,00,00,994.16267
2011,01,04,23,30,00,994.15
2011,01,05,00,00,00,994.182
2011,01,05,00,30,00,994.214
2011,01,05,01,00,00,994.25667
2011,01,05,01,30,00,994.31133
2011,01,05,02,00,00,994.31567
2011,01,05,02,30,00,994.35233
2011,01,05,03,00,00,994.36633
2011,01,05,03,30,00,994.24833
2011,01,05,04,00,00,994.10133
2011,01,05,04,30,00,994.08033
2011,01,05,05,00,00,994.06233
2011,01,05,05,30,00,993.947
2011,01,05,06,00,00,993.77967
2011,01,05,06,30,00,993.804
2011,01,05,07,00,00,993.79933
2011,01,05,07,30,00,993.853
2011,01,05,08,00,00,993.94767
2011,01,05,08,30,00,994.01367
2011,01,05,09,00,00,994.00433
2011,01,05,09,30,00,994.057
2011,01,05,10,00,00,994.07367
2011,01,05,10,30,00,994.18633
2011,01,05,11,00,00,994.22367
2011,01,05,11,30,00,994.08033
2011,01,05,12,00,00,993.98133
2011,01,05,12,30,00,993.828
2011,01,05,13,00,00,993.772
2011,01,05,13,30,00,993.67267
2011,01,05,14,00,00,993.59933
2011,01,05,14,30,00,993.47833
2011,01,05,15,00,00,993.60167
2011,01,05,15,30,00,993.488
2011,01,05,16,00,00,993.33133
2011,01,05,16,30,00,993.38633
2011,01,05,17,00,00,993.28967
2011,01,05,17,30,00,993.42067
2011,01,05,18,00,00,993.26567
2011,01,05,18,30,00,993.14733
2011,01,05,19,00,00,993.18067
2011,01,05,19,30,00,993.12833
2011,01,05,20,00,00,993.171
2011,01,05,20,30,00,993.037
2011,01,05,21,00,00,993.045
2011,01,05,21,30,00,993.13867
2011,01,05,22,00,00,993.06967
2011,01,05,22,30,00,993.10733
2011,01,05,23,00,00,993.04633
2011,01,05,23,30,00,993.04167
2011,01,06,00,00,00,993.00633
2011,01,06,00,30,00,992.90567
2011,01,06,01,00,00,992.66233
2011,01,06,01,30,00,992.58833
2011,01,06,02,00,00,992.702
2011,01,06,02,30,00,992.566
2011,01,06,03,00,00,992.337
2011,01,06,03,30,00,992.25567
2011,01,06,04,00,00,992.18767
2011,01,06,04,30,00,991.901
2011,01,06,05,00,00,991.78133
2011,01,06,05,30,00,991.474
2011,01,06,06,00,00,991.23667
2011,01,06,06,30,00,991.21767
2011,01,06,07,00,00,991.35533
2011,01,06,07,30,00,991.16133
2011,01,06,08,00,00,991.153
2011,01,06,08,30,00,991.079
2011,01,06,09,00,00,990.94633
2011,01,06,09,30,00,990.83167
2011,01,06,10,00,00,990.901
2011,01,06,10,30,00,990.79567
2011,01,06,11,00,00,990.70467
2011,01,06,11,30,00,990.46633
2011,01,06,12,00,00,990.113
2011,01,06,12,30,00,989.77333
2011,01,06,13,00,00,989.64767
2011,01,06,13,30,00,989.60733
2011,01,06,14,00,00,989.101
2011,01,06,14,30,00,988.591
2011,01,06,15,00,00,988.243
2011,01,06,15,30,00,987.72433
2011,01,06,16,00,00,987.151
2011,01,06,16,30,00,986.58667
2011,01,06,17,00,00,985.91967
2011,01,06,17,30,00,985.37333
2011,01,06,18,00,00,984.95133
2011,01,06,18,30,00,984.42633
2011,01,06,19,00,00,984.11567
2011,01,06,19,30,00,983.69467
2011,01,06,20,00,00,983.61967
2011,01,06,20,30,00,983.42467
2011,01,06,21,00,00,983.53567
2011,01,06,21,30,00,983.68867
2011,01,06,22,00,00,983.687
2011,01,06,22,30,00,983.416
2011,01,06,23,00,00,983.218
2011,01,06,23,30,00,983.14567
2011,01,07,00,00,00,982.95167
2011,01,07,00,30,00,982.884
2011,01,07,01,00,00,982.80133
2011,01,07,01,30,00,982.68433
2011,01,07,02,00,00,982.71533
2011,01,07,02,30,00,982.48233
2011,01,07,03,00,00,982.479
2011,01,07,03,30,00,982.66933
2011,01,07,04,00,00,982.883
2011,01,07,04,30,00,982.72067
2011,01,07,05,00,00,982.623
2011,01,07,05,30,00,982.47967
2011,01,07,06,00,00,982.49167
2011,01,07,06,30,00,982.27667
2011,01,07,07,00,00,982.257
2011,01,07,07,30,00,982.205
2011,01,07,08,00,00,982.09767
2011,01,07,08,30,00,982.055
2011,01,07,09,00,00,982.106
2011,01,07,09,30,00,982.133
2011,01,07,10,00,00,982.08367
2011,01,07,10,30,00,982.023
2011,01,07,11,00,00,981.84967
2011,01,07,11,30,00,981.67867
2011,01,07,12,00,00,981.47233
2011,01,07,12,30,00,981.052
2011,01,07,13,00,00,980.645
2011,01,07,13,30,00,980.22767
2011,01,07,14,00,00,979.99667
2011,01,07,14,30,00,979.936
2011,01,07,15,00,00,979.65867
2011,01,07,15,30,00,979.357
2011,01,07,16,00,00,978.93267
2011,01,07,16,30,00,978.48567
2011,01,07,17,00,00,978.18897
2011,01,07,17,30,00,977.862
2011,01,07,18,00,00,977.56233
2011,01,07,18,30,00,977.281
2011,01,07,19,00,00,976.88267
2011,01,07,19,30,00,976.547
2011,01,07,20,00,00,976.246
2011,01,07,20,30,00,976.19167
2011,01,07,21,00,00,976.26333
2011,01,07,21,30,00,976.42833
2011,01,07,22,00,00,976.803
2011,01,07,22,30,00,977.49467
2011,01,07,23,00,00,978.42167
2011,01,07,23,30,00,979.28333
2011,01,08,00,00,00,980.14033
2011,01,08,00,30,00,980.88
2011,01,08,01,00,00,981.77567
2011,01,08,01,30,00,982.41867
2011,01,08,02,00,00,983.03
2011,01,08,02,30,00,983.64
2011,01,08,03,00,00,984.33067
2011,01,08,03,30,00,984.93367
2011,01,08,04,00,00,985.28367
2011,01,08,04,30,00,985.73
2011,01,08,05,00,00,986.39333
2011,01,08,05,30,00,986.855
2011,01,08,06,00,00,987.25267
2011,01,08,06,30,00,987.81267
2011,01,08,07,00,00,988.48767
2011,01,08,07,30,00,988.923
2011,01,08,08,00,00,989.53133
2011,01,08,08,30,00,989.979
2011,01,08,09,00,00,990.42533
2011,01,08,09,30,00,990.72133
2011,01,08,10,00,00,991.199
2011,01,08,10,30,00,991.714
2011,01,08,11,00,00,992.04833
2011,01,08,11,30,00,992.29267
2011,01,08,12,00,00,992.35133
2011,01,08,12,30,00,992.49333
2011,01,08,13,00,00,992.50967
2011,01,08,13,30,00,992.628
2011,01,08,14,00,00,992.654
2011,01,08,14,30,00,992.69
2011,01,08,15,00,00,992.94467
2011,01,08,15,30,00,992.89433
2011,01,08,16,00,00,992.793
2011,01,08,16,30,00,992.56933
2011,01,08,17,00,00,992.31767
2011,01,08,17,30,00,991.882
2011,01,08,18,00,00,991.47933
2011,01,08,18,30,00,991.20267
2011,01,08,19,00,00,990.986
2011,01,08,19,30,00,990.713
2011,01,08,20,00,00,990.466
2011,01,08,20,30,00,989.99333
2011,01,08,21,00,00,989.55867
2011,01,08,21,30,00,989.29033
2011,01,08,22,00,00,988.97833
2011,01,08,22,30,00,988.64067
2011,01,08,23,00,00,988.165
2011,01,08,23,30,00,987.33633
2011,01,09,00,00,00,986.76033
2011,01,09,00,30,00,986.16567
2011,01,09,01,00,00,985.61667
2011,01,09,01,30,00,985.24833
2011,01,09,02,00,00,984.799
2011,01,09,02,30,00,984.513
2011,01,09,03,00,00,984.16967
2011,01,09,03,30,00,983.85967
2011,01,09,04,00,00,983.53267
2011,01,09,04,30,00,983.04633
2011,01,09,05,00,00,982.63567
2011,01,09,05,30,00,982.25367
2011,01,09,06,00,00,981.92633
2011,01,09,06,30,00,981.58867
2011,01,09,07,00,00,981.242
2011,01,09,07,30,00,981.183
2011,01,09,08,00,00,981.074
2011,01,09,08,30,00,980.83133
2011,01,09,09,00,00,980.59133
2011,01,09,09,30,00,980.59433
2011,01,09,10,00,00,980.602
2011,01,09,10,30,00,980.50067
2011,01,09,11,00,00,980.47633
2011,01,09,11,30,00,980.399
2011,01,09,12,00,00,980.38467
2011,01,09,12,30,00,980.306
2011,01,09,13,00,00,980.14267
2011,01,09,13,30,00,980.207
2011,01,09,14,00,00,980.283
2011,01,09,14,30,00,980.35367
2011,01,09,15,00,00,980.37433
2011,01,09,15,30,00,980.45533
2011,01,09,16,00,00,980.48133
2011,01,09,16,30,00,980.67433
2011,01,09,17,00,00,980.713
2011,01,09,17,30,00,980.82167
2011,01,09,18,00,00,980.889
2011,01,09,18,30,00,980.81667
2011,01,09,19,00,00,980.861
2011,01,09,19,30,00,980.94133
2011,01,09,20,00,00,981.03933
2011,01,09,20,30,00,980.99533
2011,01,09,21,00,00,980.93533
2011,01,09,21,30,00,980.70933
2011,01,09,22,00,00,980.64733
2011,01,09,22,30,00,980.454
2011,01,09,23,00,00,980.09667
2011,01,09,23,30,00,979.76433
2011,01,10,00,00,00,979.51267
2011,01,10,00,30,00,979.28733
2011,01,10,01,00,00,979.035
2011,01,10,01,30,00,978.69767
2011,01,10,02,00,00,978.47767
2011,01,10,02,30,00,978.29433
2011,01,10,03,00,00,978.115
2011,01,10,03,30,00,978.084
2011,01,10,04,00,00,978.093
2011,01,10,04,30,00,978.06233
2011,01,10,05,00,00,977.97233
2011,01,10,05,30,00,977.78167
2011,01,10,06,00,00,977.861
2011,01,10,06,30,00,977.54533
2011,01,10,07,00,00,977.456
2011,01,10,07,30,00,977.39233
2011,01,10,08,00,00,977.22033
2011,01,10,08,30,00,977.21533
2011,01,10,09,00,00,977.35567
2011,01,10,09,30,00,977.272
2011,01,10,10,00,00,977.44409
2011,01,10,10,30,00,977.58167
2011,01,10,11,00,00,977.728
2011,01,10,11,30,00,977.84567
2011,01,10,12,00,00,977.917
2011,01,10,12,30,00,978.049
2011,01,10,13,00,00,978.18967
2011,01,10,13,30,00,978.21467
2011,01,10,14,00,00,978.27033
2011,01,10,14,30,00,978.512
2011,01,10,15,00,00,978.727
2011,01,10,15,30,00,978.89333
2011,01,10,16,00,00,979.06133
2011,01,10,16,30,00,979.132
2011,01,10,17,00,00,979.29467
2011,01,10,17,30,00,979.472
2011,01,10,18,00,00,979.699
2011,01,10,18,30,00,979.84033
2011,01,10,19,00,00,980.09233
2011,01,10,19,30,00,980.17533
2011,01,10,20,00,00,980.30567
2011,01,10,20,30,00,980.69533
2011,01,10,21,00,00,980.92267
2011,01,10,21,30,00,981.07733
2011,01,10,22,00,00,981.277
2011,01,10,22,30,00,981.47667
2011,01,10,23,00,00,981.862
2011,01,10,23,30,00,981.98267
2011,01,11,00,00,00,982.194
2011,01,11,00,30,00,982.43967
2011,01,11,01,00,00,982.616
2011,01,11,01,30,00,982.936
2011,01,11,02,00,00,983.084
2011,01,11,02,30,00,983.243
2011,01,11,03,00,00,983.395
2011,01,11,03,30,00,983.69333
2011,01,11,04,00,00,983.85433
2011,01,11,04,30,00,984.00867
2011,01,11,05,00,00,984.23333
2011,01,11,05,30,00,984.38067
2011,01,11,06,00,00,984.58067
2011,01,11,06,30,00,984.68067
2011,01,11,07,00,00,984.88867
2011,01,11,07,30,00,984.96633
2011,01,11,08,00,00,985.00933
2011,01,11,08,30,00,985.28333
2011,01,11,09,00,00,985.66533
2011,01,11,09,30,00,986.113
2011,01,11,10,00,00,986.35567
2011,01,11,10,30,00,986.45467
2011,01,11,11,00,00,986.58138
2011,01,11,11,30,00,986.78767
2011,01,11,12,00,00,986.82567
2011,01,11,12,30,00,986.84233
2011,01,11,13,00,00,986.802
2011,01,11,13,30,00,986.72
2011,01,11,14,00,00,986.42333
2011,01,11,14,30,00,986.31833
2011,01,11,15,00,00,986.30167
2011,01,11,15,30,00,986.36433
2011,01,11,16,00,00,986.37333
2011,01,11,16,30,00,986.356
2011,01,11,17,00,00,986.378
2011,01,11,17,30,00,986.336
2011,01,11,18,00,00,986.428
2011,01,11,18,30,00,986.511
2011,01,11,19,00,00,986.60067
2011,01,11,19,30,00,986.63633
2011,01,11,20,00,00,986.723
2011,01,11,20,30,00,986.91033
2011,01,11,21,00,00,987.07067
2011,01,11,21,30,00,987.29567
2011,01,11,22,00,00,987.46533
2011,01,11,22,30,00,987.428
2011,01,11,23,00,00,987.373
2011,01,11,23,30,00,987.21567
2011,01,12,00,00,00,987.18667
2011,01,12,00,30,00,987.16933
2011,01,12,01,00,00,987.04667
2011,01,12,01,30,00,987.175
2011,01,12,02,00,00,987.312
2011,01,12,02,30,00,987.122
2011,01,12,03,00,00,986.978
2011,01,12,03,30,00,986.909
2011,01,12,04,00,00,986.753
2011,01,12,04,30,00,986.47933
2011,01,12,05,00,00,986.13467
2011,01,12,05,30,00,985.89033
2011,01,12,06,00,00,985.78267
2011,01,12,06,30,00,985.668
2011,01,12,07,00,00,985.448
2011,01,12,07,30,00,985.317
2011,01,12,08,00,00,985.294
2011,01,12,08,30,00,985.109
2011,01,12,09,00,00,985.10067
2011,01,12,09,30,00,985.06333
2011,01,12,10,00,00,985.07067
2011,01,12,10,30,00,984.81667
2011,01,12,11,00,00,984.52767
2011,01,12,11,30,00,984.369
2011,01,12,12,00,00,984.18333
2011,01,12,12,30,00,983.803
2011,01,12,13,00,00,983.33367
2011,01,12,13,30,00,983.04967
2011,01,12,14,00,00,982.70467
2011,01,12,14,30,00,982.47767
2011,01,12,15,00,00,982.099
2011,01,12,15,30,00,982.015
2011,01,12,16,00,00,981.696
2011,01,12,16,30,00,981.58733
2011,01,12,17,00,00,981.225
2011,01,12,17,30,00,980.76167
2011,01,12,18,00,00,980.37633
2011,01,12,18,30,00,980.104
2011,01,12,19,00,00,979.76733
2011,01,12,19,30,00,979.50367
2011,01,12,20,00,00,979.19333
2011,01,12,20,30,00,978.901
2011,01,12,21,00,00,978.616
2011,01,12,21,30,00,978.38367
2011,01,12,22,00,00,978.056
2011,01,12,22,30,00,977.905
2011,01,12,23,00,00,977.669
2011,01,12,23,30,00,977.27033
2011,01,13,00,00,00,977.17967
2011,01,13,00,30,00,976.93033
2011,01,13,01,00,00,976.654
2011,01,13,01,30,00,976.412
2011,01,13,02,00,00,976.266
2011,01,13,02,30,00,975.9
2011,01,13,03,00,00,975.46233
2011,01,13,03,30,00,975.219
2011,01,13,04,00,00,975.06033
2011,01,13,04,30,00,974.88967
2011,01,13,05,00,00,974.754
2011,01,13,05,30,00,974.547
2011,01,13,06,00,00,974.535
2011,01,13,06,30,00,NaN
2011,01,13,07,00,00,NaN
2011,01,13,07,30,00,973.85
2011,01,13,08,00,00,973.80133
2011,01,13,08,30,00,973.76167
2011,01,13,09,00,00,973.81433
2011,01,13,09,30,00,973.818
2011,01,13,10,00,00,973.853
2011,01,13,10,30,00,973.93267
2011,01,13,11,00,00,974.00933
2011,01,13,11,30,00,973.97433
2011,01,13,12,00,00,973.95767
2011,01,13,12,30,00,973.93933
2011,01,13,13,00,00,973.87767
2011,01,13,13,30,00,973.95233
2011,01,13,14,00,00,974.10767
