Year,Month,Day,Hour,Minute,Second,HYY_META.Glob
2011,01,04,05,00,00,-1.556
2011,01,04,05,30,00,-2.228
2011,01,04,06,00,00,-2.58167
2011,01,04,06,30,00,-2.66067
2011,01,04,07,00,00,-0.89367
2011,01,04,07,30,00,-0.57067
2011,01,04,08,00,00,-0.41133
2011,01,04,08,30,00,-0.41
2011,01,04,09,00,00,1.30833
2011,01,04,09,30,00,5.28067
2011,01,04,10,00,00,5.66767
2011,01,04,10,30,00,5.136
2011,01,04,11,00,00,13.65767
2011,01,04,11,30,00,36.639
2011,01,04,12,00,00,73.88167
2011,01,04,12,30,00,56.691
2011,01,04,13,00,00,45.01633
2011,01,04,13,30,00,41.15833
2011,01,04,14,00,00,32.505
2011,01,04,14,30,00,25.4531
2011,01,04,15,00,00,8.25633
2011,01,04,15,30,00,2.354
2011,01,04,16,00,00,0.77833
2011,01,04,16,30,00,0.98767
2011,01,04,17,00,00,1.31067
2011,01,04,17,30,00,1.02067
2011,01,04,18,00,00,0.79467
2011,01,04,18,30,00,-0.796
2011,01,04,19,00,00,-0.73133
2011,01,04,19,30,00,-1.07133
2011,01,04,20,00,00,-1.10233
2011,01,04,20,30,00,-0.69967
2011,01,04,21,00,00,-0.90833
2011,01,04,21,30,00,-0.84333
2011,01,04,22,00,00,-0.00933
2011,01,04,22,30,00,0.39233
2011,01,04,23,00,00,-0.863
2011,01,04,23,30,00,-1.05533
2011,01,05,00,00,00,-0.65
2011,01,05,00,30,00,0.22033
2011,01,05,01,00,00,1.03967
2011,01,05,01,30,00,0.622
2011,01,05,02,00,00,1.16733
2011,01,05,02,30,00,1.48967
2011,01,05,03,00,00,0.51033
2011,01,05,03,30,00,0.78233
2011,01,05,04,00,00,1.32833
2011,01,05,04,30,00,2.80867
2011,01,05,05,00,00,2.10033
2011,01,05,05,30,00,1.361
2011,01,05,06,00,00,1.00667
2011,01,05,06,30,00,1.03833
2011,01,05,07,00,00,1.16733
2011,01,05,07,30,00,1.45733
2011,01,05,08,00,00,1.44067
2011,01,05,08,30,00,1.28067
2011,01,05,09,00,00,2.26233
2011,01,05,09,30,00,5.01033
2011,01,05,10,00,00,10.54333
2011,01,05,10,30,00,17.42633
2011,01,05,11,00,00,25
2011,01,05,11,30,00,31.89833
2011,01,05,12,00,00,35.38867
2011,01,05,12,30,00,34.84233
2011,01,05,13,00,00,33.71633
2011,01,05,13,30,00,27.653
2011,01,05,14,00,00,21.365
2011,01,05,14,30,00,17.52267
2011,01,05,15,00,00,7.48767
2011,01,05,15,30,00,1.23333
2011,01,05,16,00,00,-0.97033
2011,01,05,16,30,00,-1.596
2011,01,05,17,00,00,-1.228
2011,01,05,17,30,00,-1.40433
2011,01,05,18,00,00,-1.372
2011,01,05,18,30,00,-2.047
2011,01,05,19,00,00,-2.06333
2011,01,05,19,30,00,-2.14333
2011,01,05,20,00,00,-1.90233
2011,01,05,20,30,00,-0.198
2011,01,05,21,00,00,0.78233
2011,01,05,21,30,00,1.10367
2011,01,05,22,00,00,1.329
2011,01,05,22,30,00,1.20067
2011,01,05,23,00,00,1.10333
2011,01,05,23,30,00,0.92667
2011,01,06,00,00,00,-1.52667
2011,01,06,00,30,00,-1.30067
2011,01,06,01,00,00,-1.78533
2011,01,06,01,30,00,-1.673
2011,01,06,02,00,00,-1.68867
2011,01,06,02,30,00,-1.35033
2011,01,06,03,00,00,-0.834
2011,01,06,03,30,00,-1.20367
2011,01,06,04,00,00,-1.22133
2011,01,06,04,30,00,-0.802
2011,01,06,05,00,00,-0.61
2011,01,06,05,30,00,-0.38567
2011,01,06,06,00,00,-0.45
2011,01,06,06,30,00,-0.20933
2011,01,06,07,00,00,-0.498
2011,01,06,07,30,00,-0.43367
2011,01,06,08,00,00,-0.24133
2011,01,06,08,30,00,-0.25733
2011,01,06,09,00,00,0.225
2011,01,06,09,30,00,1.30367
2011,01,06,10,00,00,3.39267
2011,01,06,10,30,00,6.01233
2011,01,06,11,00,00,11.38567
2011,01,06,11,30,00,14.82667
2011,01,06,12,00,00,17.30333
2011,01,06,12,30,00,17.706
2011,01,06,13,00,00,13.31433
2011,01,06,13,30,00,6.641
2011,01,06,14,00,00,6.351
2011,01,06,14,30,00,4.597
2011,01,06,15,00,00,1.544
2011,01,06,15,30,00,0.69333
2011,01,06,16,00,00,0.36967
2011,01,06,16,30,00,0.419
2011,01,06,17,00,00,0.37167
2011,01,06,17,30,00,0.225
2011,01,06,18,00,00,0.226
2011,01,06,18,30,00,0.322
2011,01,06,19,00,00,0.20967
2011,01,06,19,30,00,0.38667
2011,01,06,20,00,00,0.29067
2011,01,06,20,30,00,0.43467
2011,01,06,21,00,00,0.565
2011,01,06,21,30,00,0.42
2011,01,06,22,00,00,0.403
2011,01,06,22,30,00,0.53267
2011,01,06,23,00,00,0.41833
2011,01,06,23,30,00,0.532
2011,01,07,00,00,00,-0.11
2011,01,07,00,30,00,-0.25533
2011,01,07,01,00,00,-0.207
2011,01,07,01,30,00,-0.48133
2011,01,07,02,00,00,-0.287
2011,01,07,02,30,00,-0.27133
2011,01,07,03,00,00,-0.126
2011,01,07,03,30,00,-0.09467
2011,01,07,04,00,00,-0.17467
2011,01,07,04,30,00,0.033
2011,01,07,05,00,00,0.01767
2011,01,07,05,30,00,0.11367
2011,01,07,06,00,00,0.08133
2011,01,07,06,30,00,-0.031
2011,01,07,07,00,00,0.11367
2011,01,07,07,30,00,0.08067
2011,01,07,08,00,00,-0.03033
2011,01,07,08,30,00,0.03233
2011,01,07,09,00,00,0.17767
2011,01,07,09,30,00,0.70833
2011,01,07,10,00,00,1.658
2011,01,07,10,30,00,3.28033
2011,01,07,11,00,00,5.96733
2011,01,07,11,30,00,7.20633
2011,01,07,12,00,00,7.59067
2011,01,07,12,30,00,10.98433
2011,01,07,13,00,00,15.74367
2011,01,07,13,30,00,15.77567
2011,01,07,14,00,00,10.25967
2011,01,07,14,30,00,6.048
2011,01,07,15,00,00,3.92533
2011,01,07,15,30,00,0.821
2011,01,07,16,00,00,0.01767
2011,01,07,16,30,00,-0.11167
2011,01,07,17,00,00,-0.11133
2011,01,07,17,30,00,0.11367
2011,01,07,18,00,00,-0.06333
2011,01,07,18,30,00,0.04933
2011,01,07,19,00,00,-0.06267
2011,01,07,19,30,00,0.03333
2011,01,07,20,00,00,0.001
2011,01,07,20,30,00,0.08167
2011,01,07,21,00,00,0.259
2011,01,07,21,30,00,0.516
2011,01,07,22,00,00,0.19433
2011,01,07,22,30,00,-0.01433
2011,01,07,23,00,00,-0.12733
2011,01,07,23,30,00,-0.25533
2011,01,08,00,00,00,-0.29967
2011,01,08,00,30,00,0.16667
2011,01,08,01,00,00,0.40767
2011,01,08,01,30,00,0.42367
2011,01,08,02,00,00,0.88967
2011,01,08,02,30,00,0.56733
2011,01,08,03,00,00,0.34267
2011,01,08,03,30,00,0.519
2011,01,08,04,00,00,0.82533
2011,01,08,04,30,00,0.15
2011,01,08,05,00,00,0.45567
2011,01,08,05,30,00,-0.09067
2011,01,08,06,00,00,-0.25133
2011,01,08,06,30,00,0.069
2011,01,08,07,00,00,0.31133
2011,01,08,07,30,00,0.23133
2011,01,08,08,00,00,0.13433
2011,01,08,08,30,00,0.424
2011,01,08,09,00,00,1.69433
2011,01,08,09,30,00,4.3
2011,01,08,10,00,00,8.54533
2011,01,08,10,30,00,13.70667
2011,01,08,11,00,00,15.009
2011,01,08,11,30,00,18.70733
2011,01,08,12,00,00,28.61433
2011,01,08,12,30,00,43.71433
2011,01,08,13,00,00,47.91167
2011,01,08,13,30,00,35.64133
2011,01,08,14,00,00,22.632
2011,01,08,14,30,00,13.01533
2011,01,08,15,00,00,4.171
2011,01,08,15,30,00,0.359
2011,01,08,16,00,00,-0.09033
2011,01,08,16,30,00,-0.204
2011,01,08,17,00,00,-0.15467
2011,01,08,17,30,00,-0.26733
2011,01,08,18,00,00,-0.28267
2011,01,08,18,30,00,-0.235
2011,01,08,19,00,00,-0.15467
2011,01,08,19,30,00,-0.20367
2011,01,08,20,00,00,-0.20267
2011,01,08,20,30,00,-0.18633
2011,01,08,21,00,00,-0.268
2011,01,08,21,30,00,-0.34667
2011,01,08,22,00,00,-0.492
2011,01,08,22,30,00,-0.443
2011,01,08,23,00,00,-0.12267
2011,01,08,23,30,00,0.054
2011,01,09,00,00,00,-0.22833
2011,01,09,00,30,00,-0.22833
2011,01,09,01,00,00,-0.164
2011,01,09,01,30,00,-0.34
2011,01,09,02,00,00,-0.14867
2011,01,09,02,30,00,-0.24433
2011,01,09,03,00,00,-0.196
2011,01,09,03,30,00,-0.27633
2011,01,09,04,00,00,-0.18
2011,01,09,04,30,00,-0.30833
2011,01,09,05,00,00,-0.18
2011,01,09,05,30,00,-0.32433
2011,01,09,06,00,00,-0.004
2011,01,09,06,30,00,0.012
2011,01,09,07,00,00,-0.084
2011,01,09,07,30,00,0.31767
2011,01,09,08,00,00,0.02867
2011,01,09,08,30,00,0.10867
2011,01,09,09,00,00,0.18867
2011,01,09,09,30,00,1.45933
2011,01,09,10,00,00,3.98333
2011,01,09,10,30,00,4.59433
2011,01,09,11,00,00,5.832
2011,01,09,11,30,00,7.48933
2011,01,09,12,00,00,7.58533
2011,01,09,12,30,00,7.746
2011,01,09,13,00,00,5.52767
2011,01,09,13,30,00,6.18667
2011,01,09,14,00,00,4.52967
2011,01,09,14,30,00,2.182
2011,01,09,15,00,00,1.475
2011,01,09,15,30,00,-0.58167
2011,01,09,16,00,00,-0.517
2011,01,09,16,30,00,0.06
2011,01,09,17,00,00,0.012
