Year,Month,Day,Hour,Minute,Second,HYY_META.WSU336
2011,01,04,06,00,00,2.016
2011,01,04,06,30,00,1.58
2011,01,04,07,00,00,1.35633
2011,01,04,07,30,00,1.87133
2011,01,04,08,00,00,1.512
2011,01,04,08,30,00,1.422
2011,01,04,09,00,00,1.375
2011,01,04,09,30,00,1.30583
2011,01,04,10,00,00,1.5685
2011,01,04,10,30,00,0.85483
2011,01,04,11,00,00,0.98154
2011,01,04,11,30,00,0.67593
2011,01,04,12,00,00,0.829
2011,01,04,12,30,00,1.65033
2011,01,04,13,00,00,2.29233
2011,01,04,13,30,00,2.31167
2011,01,04,14,00,00,2.52433
2011,01,04,14,30,00,2.539
2011,01,04,15,00,00,2.29533
2011,01,04,15,30,00,2.806
2011,01,04,16,00,00,2.165
2011,01,04,16,30,00,2.34833
2011,01,04,17,00,00,2.60133
2011,01,04,17,30,00,2.075
2011,01,04,18,00,00,2.765
2011,01,04,18,30,00,2.704
2011,01,04,19,00,00,2.839
2011,01,04,19,30,00,3.208
2011,01,04,20,00,00,2.89733
2011,01,04,20,30,00,2.475
2011,01,04,21,00,00,3.07267
2011,01,04,21,30,00,3.747
2011,01,04,22,00,00,3.85167
2011,01,04,22,30,00,2.618
2011,01,04,23,00,00,1.86833
2011,01,04,23,30,00,2.479
2011,01,05,00,00,00,3.11833
2011,01,05,00,30,00,2.99367
2011,01,05,01,00,00,2.80967
2011,01,05,01,30,00,2.37967
2011,01,05,02,00,00,2.303
2011,01,05,02,30,00,1.74067
2011,01,05,03,00,00,1.97933
2011,01,05,03,30,00,2.18033
2011,01,05,04,00,00,2.19433
2011,01,05,04,30,00,1.05633
2011,01,05,05,00,00,1.39167
2011,01,05,05,30,00,2.082
2011,01,05,06,00,00,2.42633
2011,01,05,06,30,00,2.57633
2011,01,05,07,00,00,2.66933
2011,01,05,07,30,00,2.51067
2011,01,05,08,00,00,2.67367
2011,01,05,08,30,00,2.55233
2011,01,05,09,00,00,2.74267
2011,01,05,09,30,00,2.41333
2011,01,05,10,00,00,2.14
2011,01,05,10,30,00,2.05633
2011,01,05,11,00,00,2.041
2011,01,05,11,30,00,2.21067
2011,01,05,12,00,00,1.97133
2011,01,05,12,30,00,2.15133
2011,01,05,13,00,00,1.87867
2011,01,05,13,30,00,1.99
2011,01,05,14,00,00,2.34033
2011,01,05,14,30,00,2.32067
2011,01,05,15,00,00,2.413
2011,01,05,15,30,00,4.04233
2011,01,05,16,00,00,3.796
2011,01,05,16,30,00,3.45867
2011,01,05,17,00,00,4.11
2011,01,05,17,30,00,3.338
2011,01,05,18,00,00,4.07567
2011,01,05,18,30,00,3.177
2011,01,05,19,00,00,3.269
2011,01,05,19,30,00,3.48733
2011,01,05,20,00,00,3.67567
2011,01,05,20,30,00,3.80633
2011,01,05,21,00,00,3.509
2011,01,05,21,30,00,2.26724
2011,01,05,22,00,00,3.09833
2011,01,05,22,30,00,3.14793
2011,01,05,23,00,00,2.99862
2011,01,05,23,30,00,2.90633
2011,01,06,00,00,00,2.656
2011,01,06,00,30,00,3.09567
2011,01,06,01,00,00,3.45667
2011,01,06,01,30,00,3.34633
2011,01,06,02,00,00,3.39233
2011,01,06,02,30,00,4.04867
2011,01,06,03,00,00,4.39433
2011,01,06,03,30,00,3.404
2011,01,06,04,00,00,3.65933
2011,01,06,04,30,00,4.33733
2011,01,06,05,00,00,5.16467
2011,01,06,05,30,00,5.572
2011,01,06,06,00,00,5.23433
2011,01,06,06,30,00,5.72067
2011,01,06,07,00,00,4.96267
2011,01,06,07,30,00,5.537
2011,01,06,08,00,00,5.704
2011,01,06,08,30,00,5.708
2011,01,06,09,00,00,5.80333
2011,01,06,09,30,00,5.322
2011,01,06,10,00,00,5.09833
2011,01,06,10,30,00,5.54367
2011,01,06,11,00,00,5.17767
2011,01,06,11,30,00,5.39133
2011,01,06,12,00,00,5.023
2011,01,06,12,30,00,5.40767
2011,01,06,13,00,00,4.685
2011,01,06,13,30,00,4.31767
2011,01,06,14,00,00,5.11333
