Year,Month,Day,Hour,Minute,Second,HYY_META.O3336
2018,01,04,09,00,00,26.278
2018,01,04,09,30,00,26.764
2018,01,04,10,00,00,26.9
2018,01,04,10,30,00,26.71
2018,01,04,11,00,00,24.966
2018,01,04,11,30,00,22.866
2018,01,04,12,00,00,20.51
2018,01,04,12,30,00,18.582
2018,01,04,13,00,00,18.15
2018,01,04,13,30,00,17.676
2018,01,04,14,00,00,17.178
2018,01,04,14,30,00,16.782
2018,01,04,15,00,00,16.006
2018,01,04,15,30,00,15.8
2018,01,04,16,00,00,15.37
2018,01,04,16,30,00,13.814
2018,01,04,17,00,00,12.804
2018,01,04,17,30,00,11.948
2018,01,04,18,00,00,11.508
2018,01,04,18,30,00,10.804
2018,01,04,19,00,00,10.258
2018,01,04,19,30,00,9.346
2018,01,04,20,00,00,8.662
2018,01,04,20,30,00,8.75
2018,01,04,21,00,00,9.304
2018,01,04,21,30,00,10.786
2018,01,04,22,00,00,12.182
2018,01,04,22,30,00,13.156
2018,01,04,23,00,00,13.122
2018,01,04,23,30,00,13.624
2018,01,05,00,00,00,14.33
2018,01,05,00,30,00,14.448
2018,01,05,01,00,00,14.778
2018,01,05,01,30,00,14.992
2018,01,05,02,00,00,15.27
2018,01,05,02,30,00,15.434
2018,01,05,03,00,00,15.258
2018,01,05,03,30,00,15.114
2018,01,05,04,00,00,15.07
2018,01,05,04,30,00,14.936
2018,01,05,05,00,00,14.786
2018,01,05,05,30,00,14.558
2018,01,05,06,00,00,14.558
2018,01,05,06,30,00,14.656
2018,01,05,07,00,00,14.518
2018,01,05,07,30,00,14.608
2018,01,05,08,00,00,14.622
2018,01,05,08,30,00,14.774
2018,01,05,09,00,00,14.756
2018,01,05,09,30,00,15.214
2018,01,05,10,00,00,15.852
2018,01,05,10,30,00,15.914
2018,01,05,11,00,00,16.912
2018,01,05,11,30,00,16.778
2018,01,05,12,00,00,18.044
2018,01,05,12,30,00,18.638
2018,01,05,13,00,00,18.708
2018,01,05,13,30,00,18.972
2018,01,05,14,00,00,19.442
2018,01,05,14,30,00,20.514
2018,01,05,15,00,00,21.202
2018,01,05,15,30,00,21.416
2018,01,05,16,00,00,20.696
2018,01,05,16,30,00,20.588
2018,01,05,17,00,00,20.21
2018,01,05,17,30,00,20.882
2018,01,05,18,00,00,21.502
2018,01,05,18,30,00,20.748
2018,01,05,19,00,00,20.758
2018,01,05,19,30,00,21.208
2018,01,05,20,00,00,22.302
2018,01,05,20,30,00,23.322
2018,01,05,21,00,00,22.824
2018,01,05,21,30,00,22.736
2018,01,05,22,00,00,23.12
2018,01,05,22,30,00,22.262
2018,01,05,23,00,00,22.434
2018,01,05,23,30,00,22.098
2018,01,06,00,00,00,21.764
2018,01,06,00,30,00,21.978
2018,01,06,01,00,00,22.116
2018,01,06,01,30,00,22.188
2018,01,06,02,00,00,22.176
2018,01,06,02,30,00,21.46
2018,01,06,03,00,00,21.17
2018,01,06,03,30,00,20.308
2018,01,06,04,00,00,20.434
2018,01,06,04,30,00,21.136
2018,01,06,05,00,00,20.79
2018,01,06,05,30,00,20.586
2018,01,06,06,00,00,20.47
2018,01,06,06,30,00,20.068
2018,01,06,07,00,00,20.128
2018,01,06,07,30,00,19.524
2018,01,06,08,00,00,19.642
2018,01,06,08,30,00,18.752
2018,01,06,09,00,00,18.096
2018,01,06,09,30,00,18.256
2018,01,06,10,00,00,17.63
2018,01,06,10,30,00,17.576
2018,01,06,11,00,00,17.6
2018,01,06,11,30,00,17.834
2018,01,06,12,00,00,17.426
2018,01,06,12,30,00,16.982
2018,01,06,13,00,00,17.218
2018,01,06,13,30,00,17.224
2018,01,06,14,00,00,21.202
2018,01,06,14,30,00,24.99
2018,01,06,15,00,00,26.696
2018,01,06,15,30,00,27.49
2018,01,06,16,00,00,28.118
2018,01,06,16,30,00,28.776
2018,01,06,17,00,00,30.242
2018,01,06,17,30,00,31.884
2018,01,06,18,00,00,32.776
2018,01,06,18,30,00,33.702
2018,01,06,19,00,00,34.01
2018,01,06,19,30,00,34.012
2018,01,06,20,00,00,34.732
