Year,Month,Day,Hour,Minute,Second,HYY_META.Pamb0
2018,01,04,06,00,00,979.91067
2018,01,04,06,30,00,979.96233
2018,01,04,07,00,00,980.02067
2018,01,04,07,30,00,980.13533
2018,01,04,08,00,00,980.17667
2018,01,04,08,30,00,980.23067
2018,01,04,09,00,00,980.06533
2018,01,04,09,30,00,980.02267
2018,01,04,10,00,00,980.164
2018,01,04,10,30,00,980.33533
2018,01,04,11,00,00,980.20667
2018,01,04,11,30,00,980.234
2018,01,04,12,00,00,980.121
2018,01,04,12,30,00,979.977
2018,01,04,13,00,00,979.808
2018,01,04,13,30,00,979.53367
2018,01,04,14,00,00,979.31033
2018,01,04,14,30,00,979.36433
2018,01,04,15,00,00,979.25233
2018,01,04,15,30,00,979.222
2018,01,04,16,00,00,979.101
2018,01,04,16,30,00,978.93833
2018,01,04,17,00,00,978.803
2018,01,04,17,30,00,978.56633
2018,01,04,18,00,00,978.347
2018,01,04,18,30,00,978.16567
2018,01,04,19,00,00,977.98433
2018,01,04,19,30,00,977.796
2018,01,04,20,00,00,977.59
2018,01,04,20,30,00,977.36833
2018,01,04,21,00,00,977.25233
2018,01,04,21,30,00,976.94667
2018,01,04,22,00,00,976.78267
2018,01,04,22,30,00,976.46867
2018,01,04,23,00,00,976.25367
2018,01,04,23,30,00,975.94233
2018,01,05,00,00,00,975.71567
2018,01,05,00,30,00,975.39467
2018,01,05,01,00,00,975.098
2018,01,05,01,30,00,974.83267
2018,01,05,02,00,00,974.58367
2018,01,05,02,30,00,974.377
2018,01,05,03,00,00,973.95667
2018,01,05,03,30,00,973.64867
2018,01,05,04,00,00,973.33533
2018,01,05,04,30,00,972.98733
2018,01,05,05,00,00,972.70267
2018,01,05,05,30,00,972.35433
2018,01,05,06,00,00,972.16467
2018,01,05,06,30,00,972.04167
2018,01,05,07,00,00,971.88967
2018,01,05,07,30,00,971.852
2018,01,05,08,00,00,971.84033
2018,01,05,08,30,00,971.91233
2018,01,05,09,00,00,971.96467
2018,01,05,09,30,00,972
2018,01,05,10,00,00,971.99467
2018,01,05,10,30,00,972.145
2018,01,05,11,00,00,972.20333
2018,01,05,11,30,00,972.216
2018,01,05,12,00,00,972.18467
2018,01,05,12,30,00,972.17833
2018,01,05,13,00,00,972.24333
2018,01,05,13,30,00,972.256
2018,01,05,14,00,00,972.288
2018,01,05,14,30,00,972.414
2018,01,05,15,00,00,972.55867
2018,01,05,15,30,00,972.606
2018,01,05,16,00,00,972.65267
2018,01,05,16,30,00,972.669
2018,01,05,17,00,00,972.537
2018,01,05,17,30,00,972.41333
2018,01,05,18,00,00,972.322
2018,01,05,18,30,00,972.09667
2018,01,05,19,00,00,972.05
2018,01,05,19,30,00,971.99133
2018,01,05,20,00,00,971.936
2018,01,05,20,30,00,971.85133
2018,01,05,21,00,00,971.78733
2018,01,05,21,30,00,971.80233
2018,01,05,22,00,00,971.713
2018,01,05,22,30,00,971.58433
2018,01,05,23,00,00,971.48633
2018,01,05,23,30,00,971.43467
2018,01,06,00,00,00,971.31867
2018,01,06,00,30,00,971.27133
2018,01,06,01,00,00,971.05167
2018,01,06,01,30,00,970.82133
2018,01,06,02,00,00,970.64733
2018,01,06,02,30,00,970.46433
2018,01,06,03,00,00,970.314
2018,01,06,03,30,00,970.194
2018,01,06,04,00,00,970.02867
2018,01,06,04,30,00,969.95733
2018,01,06,05,00,00,969.92367
2018,01,06,05,30,00,969.84833
2018,01,06,06,00,00,969.83367
2018,01,06,06,30,00,969.89567
2018,01,06,07,00,00,969.91867
2018,01,06,07,30,00,969.92933
2018,01,06,08,00,00,969.99167
2018,01,06,08,30,00,970.14633
2018,01,06,09,00,00,970.372
2018,01,06,09,30,00,970.60167
2018,01,06,10,00,00,970.76967
2018,01,06,10,30,00,971.05833
2018,01,06,11,00,00,971.283
2018,01,06,11,30,00,971.42967
2018,01,06,12,00,00,971.623
2018,01,06,12,30,00,971.81267
2018,01,06,13,00,00,972.06133
2018,01,06,13,30,00,972.28567
2018,01,06,14,00,00,972.56933
2018,01,06,14,30,00,973.063
2018,01,06,15,00,00,973.545
2018,01,06,15,30,00,974.078
