"model","type","scoreType","split","score","dataset_name"
"rf","uvb_so2_filtered","RMSE","Train",595369.160074866,"uvb_so2_filtered"
"rf","uvb_so2_filtered","R2","Train",0.968411820497652,"uvb_so2_filtered"
"rf","uvb_so2_filtered","RMSE","Test",1373682.20255343,"uvb_so2_filtered"
"rf","uvb_so2_filtered","R2","Test",0.752049269690037,"uvb_so2_filtered"
"lm","uvb_so2_filtered","RMSE","Train",2129392.44077946,"uvb_so2_filtered"
"lm","uvb_so2_filtered","R2","Train",0.350270557862658,"uvb_so2_filtered"
"lm","uvb_so2_filtered","RMSE","Test",2064027.92434999,"uvb_so2_filtered"
"lm","uvb_so2_filtered","R2","Test",0.372007590597664,"uvb_so2_filtered"
