"model","type","scoreType","split","score","dataset_name"
"rf","unfiltered","RMSE","Train",1186323.03480969,"unfiltered"
"rf","unfiltered","R2","Train",0.944911608592676,"unfiltered"
"rf","unfiltered","RMSE","Test",878359.98521568,"unfiltered"
"rf","unfiltered","R2","Test",0.622529361807146,"unfiltered"
"lm","unfiltered","RMSE","Train",2736925.65757649,"unfiltered"
"lm","unfiltered","R2","Train",0.106635307317854,"unfiltered"
"lm","unfiltered","RMSE","Test",1124306.72283587,"unfiltered"
"lm","unfiltered","R2","Test",0.377216897922341,"unfiltered"
