"model","type","scoreType","split","score","dataset_name"
"rf","gr_so2_filtered","RMSE","Train",588525.513713367,"gr_so2_filtered"
"rf","gr_so2_filtered","R2","Train",0.969798305914884,"gr_so2_filtered"
"rf","gr_so2_filtered","RMSE","Test",1390931.20308756,"gr_so2_filtered"
"rf","gr_so2_filtered","R2","Test",0.676428152477886,"gr_so2_filtered"
"lm","gr_so2_filtered","RMSE","Train",2163623.4682658,"gr_so2_filtered"
"lm","gr_so2_filtered","R2","Train",0.361399573241799,"gr_so2_filtered"
"lm","gr_so2_filtered","RMSE","Test",1981164.00888131,"gr_so2_filtered"
"lm","gr_so2_filtered","R2","Test",0.333519299097685,"gr_so2_filtered"
