"model","type","scoreType","split","score","dataset_name"
"rf","uvb_filtered","RMSE","Train",833270.089722531,"uvb_filtered"
"rf","uvb_filtered","R2","Train",0.957888865490245,"uvb_filtered"
"rf","uvb_filtered","RMSE","Test",2158377.46952543,"uvb_filtered"
"rf","uvb_filtered","R2","Test",0.550871198166325,"uvb_filtered"
"lm","uvb_filtered","RMSE","Train",2593241.79223987,"uvb_filtered"
"lm","uvb_filtered","R2","Train",0.343831288815551,"uvb_filtered"
"lm","uvb_filtered","RMSE","Test",2601107.52404098,"uvb_filtered"
"lm","uvb_filtered","R2","Test",0.338813962326318,"uvb_filtered"
