"model","type","scoreType","split","score","dataset_name"
"rf","uvb_so2_filtered","RMSE","Train",869308.083004924,"uvb_so2_filtered"
"rf","uvb_so2_filtered","R2","Train",0.955257515036081,"uvb_so2_filtered"
"rf","uvb_so2_filtered","RMSE","Test",2122929.56815304,"uvb_so2_filtered"
"rf","uvb_so2_filtered","R2","Test",0.598637453557913,"uvb_so2_filtered"
"lm","uvb_so2_filtered","RMSE","Train",2614484.72282216,"uvb_so2_filtered"
"lm","uvb_so2_filtered","R2","Train",0.343429430014027,"uvb_so2_filtered"
"lm","uvb_so2_filtered","RMSE","Test",2670730.39127983,"uvb_so2_filtered"
"lm","uvb_so2_filtered","R2","Test",0.321366820974691,"uvb_so2_filtered"
