"model","type","scoreType","split","score","dataset_name"
"rf","unfiltered","RMSE","Train",552201.705277005,"unfiltered"
"rf","unfiltered","R2","Train",0.966909306674427,"unfiltered"
"rf","unfiltered","RMSE","Test",1314752.10409818,"unfiltered"
"rf","unfiltered","R2","Test",0.74504095054227,"unfiltered"
"lm","unfiltered","RMSE","Train",1947663.46994306,"unfiltered"
"lm","unfiltered","R2","Train",0.465056145961764,"unfiltered"
"lm","unfiltered","RMSE","Test",1851549.46767941,"unfiltered"
"lm","unfiltered","R2","Test",0.485294679404421,"unfiltered"
