Year,Month,Day,Hour,Minute,Second,HYY_META.UV_B
2018,01,04,01,30,00,-0.00079
2018,01,04,02,00,00,-0.00082
2018,01,04,02,30,00,-0.00083
2018,01,04,03,00,00,-0.00082
2018,01,04,03,30,00,-0.0008
2018,01,04,04,00,00,-0.00079
2018,01,04,04,30,00,-0.0008
2018,01,04,05,00,00,-0.00082
2018,01,04,05,30,00,-0.00081
2018,01,04,06,00,00,-0.00084
2018,01,04,06,30,00,-0.00079
2018,01,04,07,00,00,-0.0008
2018,01,04,07,30,00,-0.00079
2018,01,04,08,00,00,-0.00079
2018,01,04,08,30,00,-0.00077
2018,01,04,09,00,00,-0.00021
2018,01,04,09,30,00,0.00241
2018,01,04,10,00,00,0.00575
2018,01,04,10,30,00,0.00745
2018,01,04,11,00,00,0.00825
2018,01,04,11,30,00,0.00705
2018,01,04,12,00,00,0.00764
2018,01,04,12,30,00,0.00652
2018,01,04,13,00,00,0.00424
2018,01,04,13,30,00,0.00612
2018,01,04,14,00,00,0.00544
2018,01,04,14,30,00,0.0033
2018,01,04,15,00,00,0.00113
2018,01,04,15,30,00,-0.00054
2018,01,04,16,00,00,-0.00079
2018,01,04,16,30,00,-0.00081
2018,01,04,17,00,00,-0.00081
2018,01,04,17,30,00,-0.0008
2018,01,04,18,00,00,-0.00079
2018,01,04,18,30,00,-0.0008
2018,01,04,19,00,00,-0.00079
2018,01,04,19,30,00,-0.0008
2018,01,04,20,00,00,-0.00084
2018,01,04,20,30,00,-0.00083
2018,01,04,21,00,00,-0.0008
2018,01,04,21,30,00,-0.00082
2018,01,04,22,00,00,-0.00083
2018,01,04,22,30,00,-0.00082
2018,01,04,23,00,00,-0.00082
2018,01,04,23,30,00,-0.00085
2018,01,05,00,00,00,-0.00079
2018,01,05,00,30,00,-0.00077
2018,01,05,01,00,00,-0.00078
2018,01,05,01,30,00,-0.00078
2018,01,05,02,00,00,-0.0008
2018,01,05,02,30,00,-0.0008
2018,01,05,03,00,00,-0.00079
2018,01,05,03,30,00,-0.00079
2018,01,05,04,00,00,-0.00079
2018,01,05,04,30,00,-0.00082
2018,01,05,05,00,00,-0.00084
2018,01,05,05,30,00,-0.00082
2018,01,05,06,00,00,-0.00085
2018,01,05,06,30,00,-0.00085
2018,01,05,07,00,00,-0.00083
2018,01,05,07,30,00,-0.00081
2018,01,05,08,00,00,-0.00077
2018,01,05,08,30,00,-0.00073
2018,01,05,09,00,00,-0.00035
2018,01,05,09,30,00,0.00105
2018,01,05,10,00,00,0.00305
2018,01,05,10,30,00,0.00622
2018,01,05,11,00,00,0.00696
2018,01,05,11,30,00,0.00666
2018,01,05,12,00,00,0.00727
2018,01,05,12,30,00,0.0111
2018,01,05,13,00,00,0.00971
2018,01,05,13,30,00,0.00876
2018,01,05,14,00,00,0.00612
2018,01,05,14,30,00,0.0036
2018,01,05,15,00,00,0.00096
2018,01,05,15,30,00,-0.00026
2018,01,05,16,00,00,-0.00052
2018,01,05,16,30,00,-0.00054
2018,01,05,17,00,00,-0.00055
2018,01,05,17,30,00,-0.00057
2018,01,05,18,00,00,-0.00058
2018,01,05,18,30,00,-0.00057
2018,01,05,19,00,00,-0.00058
2018,01,05,19,30,00,-0.00055
2018,01,05,20,00,00,-0.00055
2018,01,05,20,30,00,-0.00052
2018,01,05,21,00,00,-0.00052
2018,01,05,21,30,00,-0.00051
2018,01,05,22,00,00,-0.00054
2018,01,05,22,30,00,-0.00054
2018,01,05,23,00,00,-0.00057
2018,01,05,23,30,00,-0.00055
2018,01,06,00,00,00,-0.00038
2018,01,06,00,30,00,-0.00035
2018,01,06,01,00,00,-0.00038
2018,01,06,01,30,00,-0.00041
2018,01,06,02,00,00,-0.00041
2018,01,06,02,30,00,-0.0004
2018,01,06,03,00,00,-0.00037
2018,01,06,03,30,00,-0.00039
2018,01,06,04,00,00,-0.00047
2018,01,06,04,30,00,-0.0005
2018,01,06,05,00,00,-0.00058
2018,01,06,05,30,00,-0.00056
2018,01,06,06,00,00,-0.00055
2018,01,06,06,30,00,-0.00049
2018,01,06,07,00,00,-0.00046
2018,01,06,07,30,00,-0.00047
2018,01,06,08,00,00,-0.00047
2018,01,06,08,30,00,-0.00043
2018,01,06,09,00,00,-0.00017
2018,01,06,09,30,00,0.00099
2018,01,06,10,00,00,0.00289
2018,01,06,10,30,00,0.00403
2018,01,06,11,00,00,0.00629
2018,01,06,11,30,00,0.01106
2018,01,06,12,00,00,0.01546
2018,01,06,12,30,00,0.0122
2018,01,06,13,00,00,0.01157
