Year,Month,Day,Hour,Minute,Second,HYY_META.WSU336
2022,01,04,05,00,00,5.52589
2022,01,04,05,30,00,5.6925
2022,01,04,06,00,00,6.35083
2022,01,04,06,30,00,6.49989
2022,01,04,07,00,00,6.01344
2022,01,04,07,30,00,6.41522
2022,01,04,08,00,00,6.38111
2022,01,04,08,30,00,6.42756
2022,01,04,09,00,00,6.75372
2022,01,04,09,30,00,6.93556
2022,01,04,10,00,00,6.75128
2022,01,04,10,30,00,6.52906
2022,01,04,11,00,00,6.51406
2022,01,04,11,30,00,7.14161
2022,01,04,12,00,00,6.30844
2022,01,04,12,30,00,5.97183
2022,01,04,13,00,00,5.925
2022,01,04,13,30,00,5.04378
2022,01,04,14,00,00,4.44811
2022,01,04,14,30,00,4.23894
2022,01,04,15,00,00,3.56933
2022,01,04,15,30,00,3.56433
2022,01,04,16,00,00,3.2795
2022,01,04,16,30,00,2.94583
2022,01,04,17,00,00,2.69104
2022,01,04,17,30,00,1.95878
2022,01,04,18,00,00,2.1755
2022,01,04,18,30,00,1.29655
2022,01,04,19,00,00,1.42257
2022,01,04,19,30,00,1.07472
2022,01,04,20,00,00,0.84567
2022,01,04,20,30,00,0.90534
2022,01,04,21,00,00,0.909
2022,01,04,21,30,00,1.12785
2022,01,04,22,00,00,1.129
2022,01,04,22,30,00,1.33294
2022,01,04,23,00,00,0.91807
2022,01,04,23,30,00,0.8135
2022,01,05,00,00,00,1.37378
2022,01,05,00,30,00,1.53639
2022,01,05,01,00,00,1.41573
2022,01,05,01,30,00,1.22794
2022,01,05,02,00,00,1.54456
2022,01,05,02,30,00,1.59711
2022,01,05,03,00,00,1.49161
2022,01,05,03,30,00,1.57144
2022,01,05,04,00,00,1.40678
2022,01,05,04,30,00,1.17583
2022,01,05,05,00,00,1.35511
2022,01,05,05,30,00,1.21378
2022,01,05,06,00,00,1.63406
2022,01,05,06,30,00,1.33091
2022,01,05,07,00,00,1.30533
2022,01,05,07,30,00,1.08317
2022,01,05,08,00,00,1.03049
2022,01,05,08,30,00,1.06384
2022,01,05,09,00,00,1.27156
2022,01,05,09,30,00,1.2105
2022,01,05,10,00,00,1.76017
2022,01,05,10,30,00,1.66639
2022,01,05,11,00,00,1.80439
2022,01,05,11,30,00,1.81754
2022,01,05,12,00,00,1.71733
2022,01,05,12,30,00,1.60789
2022,01,05,13,00,00,1.45933
2022,01,05,13,30,00,1.2743
2022,01,05,14,00,00,0.9522
2022,01,05,14,30,00,0.92611
2022,01,05,15,00,00,1.31039
2022,01,05,15,30,00,0.89144
2022,01,05,16,00,00,0.97528
2022,01,05,16,30,00,1.20237
2022,01,05,17,00,00,1.25582
2022,01,05,17,30,00,0.52123
2022,01,05,18,00,00,1.00892
2022,01,05,18,30,00,0.93815
2022,01,05,19,00,00,0.34841
2022,01,05,19,30,00,0.41653
2022,01,05,20,00,00,0.36032
2022,01,05,20,30,00,0.47175
2022,01,05,21,00,00,0.96995
2022,01,05,21,30,00,1.52522
2022,01,05,22,00,00,1.79922
2022,01,05,22,30,00,2.03778
2022,01,05,23,00,00,2.89489
2022,01,05,23,30,00,4.011
2022,01,06,00,00,00,4.33578
2022,01,06,00,30,00,5.11772
2022,01,06,01,00,00,5.85689
2022,01,06,01,30,00,5.96656
2022,01,06,02,00,00,5.198
2022,01,06,02,30,00,5.09772
2022,01,06,03,00,00,5.73683
2022,01,06,03,30,00,5.24739
2022,01,06,04,00,00,4.82072
2022,01,06,04,30,00,4.86306
2022,01,06,05,00,00,5.13144
2022,01,06,05,30,00,5.14567
2022,01,06,06,00,00,4.33922
2022,01,06,06,30,00,5.23278
2022,01,06,07,00,00,4.88439
2022,01,06,07,30,00,4.87267
2022,01,06,08,00,00,4.97361
2022,01,06,08,30,00,4.67589
2022,01,06,09,00,00,4.25722
2022,01,06,09,30,00,4.39406
2022,01,06,10,00,00,4.05994
2022,01,06,10,30,00,4.28578
2022,01,06,11,00,00,3.70611
2022,01,06,11,30,00,3.66239
2022,01,06,12,00,00,4.35383
2022,01,06,12,30,00,4.40056
2022,01,06,13,00,00,3.77617
2022,01,06,13,30,00,3.93211
2022,01,06,14,00,00,3.59261
2022,01,06,14,30,00,3.47483
2022,01,06,15,00,00,3.72439
2022,01,06,15,30,00,3.68322
2022,01,06,16,00,00,3.48978
2022,01,06,16,30,00,3.61128
2022,01,06,17,00,00,4.41989
2022,01,06,17,30,00,4.56856
2022,01,06,18,00,00,5.12128
2022,01,06,18,30,00,5.88861
2022,01,06,19,00,00,5.5345
2022,01,06,19,30,00,5.62583
2022,01,06,20,00,00,4.99817
2022,01,06,20,30,00,5.02467
2022,01,06,21,00,00,5.15572
2022,01,06,21,30,00,5.35211
2022,01,06,22,00,00,5.64311
2022,01,06,22,30,00,4.83178
2022,01,06,23,00,00,4.08367
2022,01,06,23,30,00,3.17133
2022,01,07,00,00,00,3.00433
2022,01,07,00,30,00,2.77122
2022,01,07,01,00,00,2.10236
2022,01,07,01,30,00,2.217
2022,01,07,02,00,00,2.89528
2022,01,07,02,30,00,3.35778
2022,01,07,03,00,00,3.86772
2022,01,07,03,30,00,3.85333
2022,01,07,04,00,00,3.78406
2022,01,07,04,30,00,4.41844
2022,01,07,05,00,00,4.78328
2022,01,07,05,30,00,5.15717
2022,01,07,06,00,00,4.923
2022,01,07,06,30,00,5.04794
2022,01,07,07,00,00,5.36111
2022,01,07,07,30,00,5.10556
2022,01,07,08,00,00,4.85961
2022,01,07,08,30,00,4.44272
2022,01,07,09,00,00,4.02394
2022,01,07,09,30,00,3.84722
2022,01,07,10,00,00,4.11928
2022,01,07,10,30,00,3.54978
2022,01,07,11,00,00,2.93783
2022,01,07,11,30,00,2.90506
2022,01,07,12,00,00,3.06289
2022,01,07,12,30,00,2.93878
2022,01,07,13,00,00,2.75522
2022,01,07,13,30,00,3.18822
2022,01,07,14,00,00,2.66611
2022,01,07,14,30,00,3.40483
2022,01,07,15,00,00,3.514
2022,01,07,15,30,00,3.33422
2022,01,07,16,00,00,3.61511
2022,01,07,16,30,00,3.69822
2022,01,07,17,00,00,3.63028
2022,01,07,17,30,00,3.51983
2022,01,07,18,00,00,3.469
2022,01,07,18,30,00,3.30839
2022,01,07,19,00,00,3.28639
2022,01,07,19,30,00,2.72711
2022,01,07,20,00,00,2.03639
2022,01,07,20,30,00,2.37172
2022,01,07,21,00,00,2.72372
2022,01,07,21,30,00,2.46806
2022,01,07,22,00,00,2.06561
2022,01,07,22,30,00,1.97894
2022,01,07,23,00,00,2.46206
2022,01,07,23,30,00,2.14317
2022,01,08,00,00,00,2.63283
2022,01,08,00,30,00,2.37322
2022,01,08,01,00,00,1.99342
2022,01,08,01,30,00,1.79417
2022,01,08,02,00,00,1.84317
2022,01,08,02,30,00,1.80883
2022,01,08,03,00,00,1.43167
2022,01,08,03,30,00,1.37889
2022,01,08,04,00,00,1.61522
2022,01,08,04,30,00,1.19287
2022,01,08,05,00,00,0.90445
2022,01,08,05,30,00,0.62977
2022,01,08,06,00,00,0.5601
2022,01,08,06,30,00,0.98797
2022,01,08,07,00,00,0.92785
2022,01,08,07,30,00,0.5486
2022,01,08,08,00,00,0.48462
2022,01,08,08,30,00,1.3272
2022,01,08,09,00,00,1.56593
2022,01,08,09,30,00,1.32528
2022,01,08,10,00,00,2.24864
2022,01,08,10,30,00,0.72739
2022,01,08,11,00,00,1.51145
2022,01,08,11,30,00,2.20294
2022,01,08,12,00,00,2.69389
2022,01,08,12,30,00,3.32617
2022,01,08,13,00,00,2.7835
