Year,Month,Day,Hour,Minute,Second,HYY_META.T336
2018,01,04,03,30,00,-0.43567
2018,01,04,04,00,00,-0.46033
2018,01,04,04,30,00,-0.47633
2018,01,04,05,00,00,-0.456
2018,01,04,05,30,00,-0.466
2018,01,04,06,00,00,-0.512
2018,01,04,06,30,00,-0.51667
2018,01,04,07,00,00,-0.52967
2018,01,04,07,30,00,-0.59167
2018,01,04,08,00,00,-0.68067
2018,01,04,08,30,00,-0.766
2018,01,04,09,00,00,-0.88033
2018,01,04,09,30,00,-0.99967
2018,01,04,10,00,00,-1.10767
2018,01,04,10,30,00,-1.114
2018,01,04,11,00,00,-1.06733
2018,01,04,11,30,00,-1.01767
2018,01,04,12,00,00,-0.99267
2018,01,04,12,30,00,-0.96267
2018,01,04,13,00,00,-0.93833
2018,01,04,13,30,00,-0.93167
2018,01,04,14,00,00,-0.89133
2018,01,04,14,30,00,-0.89833
2018,01,04,15,00,00,-0.92633
2018,01,04,15,30,00,-0.91833
2018,01,04,16,00,00,-0.91033
2018,01,04,16,30,00,-0.887
2018,01,04,17,00,00,-0.86167
2018,01,04,17,30,00,-0.791
2018,01,04,18,00,00,-0.76767
2018,01,04,18,30,00,-0.731
2018,01,04,19,00,00,-0.679
2018,01,04,19,30,00,-0.65333
2018,01,04,20,00,00,-0.65067
2018,01,04,20,30,00,-0.619
2018,01,04,21,00,00,-0.57867
2018,01,04,21,30,00,-0.53433
2018,01,04,22,00,00,-0.47633
2018,01,04,22,30,00,-0.452
2018,01,04,23,00,00,-0.47033
2018,01,04,23,30,00,-0.43833
2018,01,05,00,00,00,-0.39233
2018,01,05,00,30,00,-0.36167
2018,01,05,01,00,00,-0.31567
2018,01,05,01,30,00,-0.261
2018,01,05,02,00,00,-0.22367
2018,01,05,02,30,00,-0.216
2018,01,05,03,00,00,-0.191
2018,01,05,03,30,00,-0.186
2018,01,05,04,00,00,-0.125
2018,01,05,04,30,00,-0.142
2018,01,05,05,00,00,-0.15567
2018,01,05,05,30,00,-0.18267
2018,01,05,06,00,00,-0.18533
2018,01,05,06,30,00,-0.17867
2018,01,05,07,00,00,-0.15867
2018,01,05,07,30,00,-0.16367
2018,01,05,08,00,00,-0.14867
2018,01,05,08,30,00,-0.10167
2018,01,05,09,00,00,-0.04233
2018,01,05,09,30,00,0.026
2018,01,05,10,00,00,0.06233
2018,01,05,10,30,00,-0.00067
2018,01,05,11,00,00,0.05033
2018,01,05,11,30,00,0.17567
2018,01,05,12,00,00,0.384
2018,01,05,12,30,00,0.53867
2018,01,05,13,00,00,0.55533
2018,01,05,13,30,00,0.283
2018,01,05,14,00,00,0.66233
2018,01,05,14,30,00,1.02333
2018,01,05,15,00,00,1.141
2018,01,05,15,30,00,1.18
2018,01,05,16,00,00,1.08367
2018,01,05,16,30,00,0.997
2018,01,05,17,00,00,0.86833
2018,01,05,17,30,00,0.57733
2018,01,05,18,00,00,0.28467
2018,01,05,18,30,00,0.118
2018,01,05,19,00,00,0.075
2018,01,05,19,30,00,0.452
2018,01,05,20,00,00,0.91033
2018,01,05,20,30,00,1.113
2018,01,05,21,00,00,1.18033
2018,01,05,21,30,00,1.26833
2018,01,05,22,00,00,1.31333
2018,01,05,22,30,00,1.29667
2018,01,05,23,00,00,1.23767
2018,01,05,23,30,00,1.10733
2018,01,06,00,00,00,0.856
2018,01,06,00,30,00,0.656
2018,01,06,01,00,00,0.429
2018,01,06,01,30,00,0.17667
2018,01,06,02,00,00,-0.009
2018,01,06,02,30,00,-0.07
2018,01,06,03,00,00,-0.11467
2018,01,06,03,30,00,-0.15267
2018,01,06,04,00,00,-0.21367
2018,01,06,04,30,00,-0.25533
2018,01,06,05,00,00,-0.279
2018,01,06,05,30,00,-0.304
2018,01,06,06,00,00,-0.32933
2018,01,06,06,30,00,-0.34667
2018,01,06,07,00,00,-0.33733
2018,01,06,07,30,00,-0.33733
2018,01,06,08,00,00,-0.31933
2018,01,06,08,30,00,-0.28267
2018,01,06,09,00,00,-0.23
2018,01,06,09,30,00,-0.183
2018,01,06,10,00,00,-0.191
2018,01,06,10,30,00,-0.18033
2018,01,06,11,00,00,-0.214
2018,01,06,11,30,00,-0.29667
2018,01,06,12,00,00,-0.35933
2018,01,06,12,30,00,-0.37767
2018,01,06,13,00,00,-0.40233
2018,01,06,13,30,00,-0.43567
2018,01,06,14,00,00,-0.67867
2018,01,06,14,30,00,-1.049
2018,01,06,15,00,00,-1.48
2018,01,06,15,30,00,-1.73767
2018,01,06,16,00,00,-2.14833
2018,01,06,16,30,00,-2.41833
2018,01,06,17,00,00,-2.86367
2018,01,06,17,30,00,-3.20467
2018,01,06,18,00,00,-3.53833
2018,01,06,18,30,00,-3.86333
2018,01,06,19,00,00,-4.04067
2018,01,06,19,30,00,-4.112
2018,01,06,20,00,00,-4.192
2018,01,06,20,30,00,-4.31967
2018,01,06,21,00,00,-4.40233
2018,01,06,21,30,00,-4.46967
2018,01,06,22,00,00,-4.51533
2018,01,06,22,30,00,-4.52967
2018,01,06,23,00,00,-4.631
2018,01,06,23,30,00,-4.932
2018,01,07,00,00,00,-5.48
2018,01,07,00,30,00,-5.98967
2018,01,07,01,00,00,-6.39533
2018,01,07,01,30,00,-6.813
2018,01,07,02,00,00,-7.14233
2018,01,07,02,30,00,-7.442
2018,01,07,03,00,00,-7.714
2018,01,07,03,30,00,-7.85767
2018,01,07,04,00,00,-7.78
2018,01,07,04,30,00,-7.80633
2018,01,07,05,00,00,-7.75733
2018,01,07,05,30,00,-7.576
2018,01,07,06,00,00,-7.501
2018,01,07,06,30,00,-7.393
2018,01,07,07,00,00,-7.22133
2018,01,07,07,30,00,-7.09533
2018,01,07,08,00,00,-6.702
2018,01,07,08,30,00,-6.447
2018,01,07,09,00,00,-6.342
2018,01,07,09,30,00,-6.21
2018,01,07,10,00,00,-6.13267
2018,01,07,10,30,00,-6.14233
2018,01,07,11,00,00,-5.89167
2018,01,07,11,30,00,-5.58567
2018,01,07,12,00,00,-5.10967
2018,01,07,12,30,00,-4.808
2018,01,07,13,00,00,-4.43133
2018,01,07,13,30,00,-4.464
2018,01,07,14,00,00,-4.18567
2018,01,07,14,30,00,-3.96333
2018,01,07,15,00,00,-3.87533
2018,01,07,15,30,00,-3.818
2018,01,07,16,00,00,-3.587
2018,01,07,16,30,00,-3.39
2018,01,07,17,00,00,-3.32633
2018,01,07,17,30,00,-3.356
2018,01,07,18,00,00,-3.499
2018,01,07,18,30,00,-3.59267
2018,01,07,19,00,00,-3.51867
2018,01,07,19,30,00,-3.64867
2018,01,07,20,00,00,-3.517
2018,01,07,20,30,00,-3.26433
2018,01,07,21,00,00,-3.064
2018,01,07,21,30,00,-2.88533
2018,01,07,22,00,00,-2.73267
2018,01,07,22,30,00,-2.739
2018,01,07,23,00,00,-2.68433
2018,01,07,23,30,00,-2.74067
2018,01,08,00,00,00,-2.70133
2018,01,08,00,30,00,-2.64567
2018,01,08,01,00,00,-2.645
2018,01,08,01,30,00,-2.69333
2018,01,08,02,00,00,-2.97533
2018,01,08,02,30,00,-3.28567
2018,01,08,03,00,00,-3.70467
2018,01,08,03,30,00,-4.065
2018,01,08,04,00,00,-4.29133
2018,01,08,04,30,00,-4.41533
2018,01,08,05,00,00,-4.47
2018,01,08,05,30,00,-4.47467
2018,01,08,06,00,00,-4.548
2018,01,08,06,30,00,-4.536
2018,01,08,07,00,00,-4.64667
2018,01,08,07,30,00,-4.863
2018,01,08,08,00,00,-5.07
2018,01,08,08,30,00,-5.18733
2018,01,08,09,00,00,-5.574
2018,01,08,09,30,00,-5.98667
2018,01,08,10,00,00,-6.236
2018,01,08,10,30,00,-6.29033
2018,01,08,11,00,00,-6.298
2018,01,08,11,30,00,-6.119
2018,01,08,12,00,00,-5.87933
2018,01,08,12,30,00,-5.57233
2018,01,08,13,00,00,-5.37667
2018,01,08,13,30,00,-5.26933
2018,01,08,14,00,00,-5.122
2018,01,08,14,30,00,-5.19833
2018,01,08,15,00,00,-5.46833
2018,01,08,15,30,00,-5.69433
2018,01,08,16,00,00,-5.92067
2018,01,08,16,30,00,-6.005
2018,01,08,17,00,00,-6.03867
2018,01,08,17,30,00,-5.653
2018,01,08,18,00,00,-5.736
2018,01,08,18,30,00,-5.603
2018,01,08,19,00,00,-5.684
2018,01,08,19,30,00,-5.84633
2018,01,08,20,00,00,-6.365
2018,01,08,20,30,00,-6.63333
2018,01,08,21,00,00,-6.558
2018,01,08,21,30,00,-5.59333
2018,01,08,22,00,00,-5.18633
2018,01,08,22,30,00,-4.18933
2018,01,08,23,00,00,-4.061
2018,01,08,23,30,00,-4.128
2018,01,09,00,00,00,-4.14133
2018,01,09,00,30,00,-3.841
2018,01,09,01,00,00,-3.39867
2018,01,09,01,30,00,-3.107
2018,01,09,02,00,00,-3.04133
2018,01,09,02,30,00,-2.96767
2018,01,09,03,00,00,-2.81833
2018,01,09,03,30,00,-2.61067
2018,01,09,04,00,00,-2.20767
2018,01,09,04,30,00,-1.84067
2018,01,09,05,00,00,-1.43567
2018,01,09,05,30,00,-1.17033
2018,01,09,06,00,00,-0.93033
2018,01,09,06,30,00,-0.63067
2018,01,09,07,00,00,-0.47667
2018,01,09,07,30,00,-0.64
2018,01,09,08,00,00,-0.79867
2018,01,09,08,30,00,-0.82033
2018,01,09,09,00,00,-0.93967
2018,01,09,09,30,00,-1.00767
2018,01,09,10,00,00,-1.08733
2018,01,09,10,30,00,-1.24867
2018,01,09,11,00,00,-1.28167
2018,01,09,11,30,00,-0.85767
2018,01,09,12,00,00,-0.703
2018,01,09,12,30,00,-0.85167
2018,01,09,13,00,00,-0.90467
2018,01,09,13,30,00,-0.81167
2018,01,09,14,00,00,-0.87067
2018,01,09,14,30,00,-0.89867
2018,01,09,15,00,00,-1.093
2018,01,09,15,30,00,-1.24867
2018,01,09,16,00,00,-1.20767
2018,01,09,16,30,00,-1.11
2018,01,09,17,00,00,-1.15433
2018,01,09,17,30,00,-1.30333
2018,01,09,18,00,00,-1.35433
2018,01,09,18,30,00,-1.251
2018,01,09,19,00,00,-1.41167
2018,01,09,19,30,00,-1.70767
2018,01,09,20,00,00,-1.89
2018,01,09,20,30,00,-2.05733
2018,01,09,21,00,00,-2.15633
2018,01,09,21,30,00,-2.325
2018,01,09,22,00,00,-2.23633
2018,01,09,22,30,00,-2.322
2018,01,09,23,00,00,-2.523
2018,01,09,23,30,00,-2.68267
2018,01,10,00,00,00,-2.929
2018,01,10,00,30,00,-3.31167
2018,01,10,01,00,00,-3.676
2018,01,10,01,30,00,-3.619
2018,01,10,02,00,00,-3.62767
2018,01,10,02,30,00,-3.67567
2018,01,10,03,00,00,-3.86
2018,01,10,03,30,00,-4.195
2018,01,10,04,00,00,-4.25333
2018,01,10,04,30,00,-4.33267
2018,01,10,05,00,00,-4.49033
2018,01,10,05,30,00,-4.67633
2018,01,10,06,00,00,-5.02828
2018,01,10,06,30,00,-5.33367
2018,01,10,07,00,00,-5.54867
2018,01,10,07,30,00,-5.439
2018,01,10,08,00,00,-5.06167
2018,01,10,08,30,00,-4.97733
2018,01,10,09,00,00,-5.11533
2018,01,10,09,30,00,-5.26867
2018,01,10,10,00,00,-5.496
2018,01,10,10,30,00,-5.667
2018,01,10,11,00,00,-5.61867
2018,01,10,11,30,00,-5.61033
2018,01,10,12,00,00,-5.54567
2018,01,10,12,30,00,-5.368
2018,01,10,13,00,00,-5.15333
2018,01,10,13,30,00,-4.93967
2018,01,10,14,00,00,-4.80833
2018,01,10,14,30,00,-4.68767
2018,01,10,15,00,00,-4.71133
2018,01,10,15,30,00,-4.84367
2018,01,10,16,00,00,-4.93933
2018,01,10,16,30,00,-5.127
2018,01,10,17,00,00,-5.37567
2018,01,10,17,30,00,-5.76
2018,01,10,18,00,00,-6.09333
2018,01,10,18,30,00,-6.41633
2018,01,10,19,00,00,-6.86133
2018,01,10,19,30,00,-6.985
2018,01,10,20,00,00,-6.948
2018,01,10,20,30,00,-6.881
2018,01,10,21,00,00,-6.92733
2018,01,10,21,30,00,-6.939
2018,01,10,22,00,00,-7.14933
2018,01,10,22,30,00,-7.42167
2018,01,10,23,00,00,-7.60133
2018,01,10,23,30,00,-7.84733
2018,01,11,00,00,00,-8.01633
2018,01,11,00,30,00,-8.15533
