Year,Month,Day,Hour,Minute,Second,HYY_META.RHTd
2019,07,26,08,00,00,65.80378
2019,07,26,08,30,00,62.67161
2019,07,26,09,00,00,62.37369
2019,07,26,09,30,00,58.24158
2019,07,26,10,00,00,58.09992
2019,07,26,10,30,00,56.82544
2019,07,26,11,00,00,57.6004
2019,07,26,11,30,00,54.98697
2019,07,26,12,00,00,52.63064
2019,07,26,12,30,00,49.98319
2019,07,26,13,00,00,47.67114
2019,07,26,13,30,00,46.33753
2019,07,26,14,00,00,43.91975
2019,07,26,14,30,00,45.72939
2019,07,26,15,00,00,45.25119
2019,07,26,15,30,00,43.5992
2019,07,26,16,00,00,43.12556
2019,07,26,16,30,00,43.60975
2019,07,26,17,00,00,44.47717
2019,07,26,17,30,00,46.59264
2019,07,26,18,00,00,44.37836
2019,07,26,18,30,00,44.77017
2019,07,26,19,00,00,44.69558
2019,07,26,19,30,00,45.06072
2019,07,26,20,00,00,45.22522
2019,07,26,20,30,00,45.97483
2019,07,26,21,00,00,47.60764
2019,07,26,21,30,00,49.01592
2019,07,26,22,00,00,49.69811
2019,07,26,22,30,00,50.12761
2019,07,26,23,00,00,50.34906
2019,07,26,23,30,00,51.00919
2019,07,27,00,00,00,52.42669
2019,07,27,00,30,00,53.65233
2019,07,27,01,00,00,55.09683
2019,07,27,01,30,00,56.18581
2019,07,27,02,00,00,56.604
2019,07,27,02,30,00,57.04386
2019,07,27,03,00,00,56.55247
2019,07,27,03,30,00,56.19211
2019,07,27,04,00,00,56.92786
2019,07,27,04,30,00,57.64345
2019,07,27,05,00,00,60.6975
2019,07,27,05,30,00,64.336
2019,07,27,06,00,00,64.04597
2019,07,27,06,30,00,62.80094
2019,07,27,07,00,00,60.10119
2019,07,27,07,30,00,57.35056
2019,07,27,08,00,00,55.314
2019,07,27,08,30,00,54.05019
2019,07,27,09,00,00,52.37138
2019,07,27,09,30,00,51.91028
2019,07,27,10,00,00,49.83967
2019,07,27,10,30,00,46.81333
2019,07,27,11,00,00,45.46203
2019,07,27,11,30,00,43.78851
2019,07,27,12,00,00,42.03006
2019,07,27,12,30,00,42.80119
2019,07,27,13,00,00,43.26361
2019,07,27,13,30,00,41.00961
2019,07,27,14,00,00,40.32475
2019,07,27,14,30,00,40.49136
2019,07,27,15,00,00,37.90762
2019,07,27,15,30,00,36.76442
2019,07,27,16,00,00,36.90142
2019,07,27,16,30,00,37.28581
2019,07,27,17,00,00,36.6015
2019,07,27,17,30,00,36.58372
2019,07,27,18,00,00,35.75967
2019,07,27,18,30,00,35.80428
2019,07,27,19,00,00,37.07356
2019,07,27,19,30,00,38.01642
2019,07,27,20,00,00,39.84028
2019,07,27,20,30,00,40.40986
2019,07,27,21,00,00,41.72231
2019,07,27,21,30,00,42.11225
2019,07,27,22,00,00,45.43744
2019,07,27,22,30,00,52.26486
2019,07,27,23,00,00,56.18578
2019,07,27,23,30,00,59.17092
2019,07,28,00,00,00,59.72225
2019,07,28,00,30,00,58.52645
2019,07,28,01,00,00,58.62589
2019,07,28,01,30,00,58.36989
2019,07,28,02,00,00,58.76308
2019,07,28,02,30,00,57.59619
2019,07,28,03,00,00,59.54795
2019,07,28,03,30,00,60.57753
2019,07,28,04,00,00,62.85331
2019,07,28,04,30,00,64.26608
2019,07,28,05,00,00,67.39142
2019,07,28,05,30,00,69.63928
2019,07,28,06,00,00,69.81689
2019,07,28,06,30,00,69.70797
2019,07,28,07,00,00,68.62925
2019,07,28,07,30,00,67.51497
2019,07,28,08,00,00,64.93703
2019,07,28,08,30,00,61.22619
2019,07,28,09,00,00,57.92
2019,07,28,09,30,00,53.77489
2019,07,28,10,00,00,49.70959
2019,07,28,10,30,00,46.70808
2019,07,28,11,00,00,45.40465
2019,07,28,11,30,00,43.08867
2019,07,28,12,00,00,43.96925
2019,07,28,12,30,00,43.51314
2019,07,28,13,00,00,41.59578
2019,07,28,13,30,00,40.65886
2019,07,28,14,00,00,42.05433
2019,07,28,14,30,00,41.64961
2019,07,28,15,00,00,41.20811
2019,07,28,15,30,00,41.89364
2019,07,28,16,00,00,41.53942
2019,07,28,16,30,00,42.68867
2019,07,28,17,00,00,43.86683
2019,07,28,17,30,00,41.0325
2019,07,28,18,00,00,38.75256
2019,07,28,18,30,00,37.12339
2019,07,28,19,00,00,37.36978
2019,07,28,19,30,00,37.36075
2019,07,28,20,00,00,39.11853
2019,07,28,20,30,00,42.99783
2019,07,28,21,00,00,44.20225
2019,07,28,21,30,00,45.99028
2019,07,28,22,00,00,47.74194
2019,07,28,22,30,00,49.92964
2019,07,28,23,00,00,52.84169
2019,07,28,23,30,00,55.88422
2019,07,29,00,00,00,57.43467
2019,07,29,00,30,00,59.89039
2019,07,29,01,00,00,62.22639
2019,07,29,01,30,00,64.47028
2019,07,29,02,00,00,67.5675
2019,07,29,02,30,00,69.37619
2019,07,29,03,00,00,71.43886
2019,07,29,03,30,00,73.83567
2019,07,29,04,00,00,74.90517
2019,07,29,04,30,00,76.35361
2019,07,29,05,00,00,76.47322
2019,07,29,05,30,00,74.39336
2019,07,29,06,00,00,71.6815
2019,07,29,06,30,00,69.46039
2019,07,29,07,00,00,65.19822
2019,07,29,07,30,00,61.19367
2019,07,29,08,00,00,59.35922
2019,07,29,08,30,00,56.09927
2019,07,29,09,00,00,55.74006
2019,07,29,09,30,00,53.06064
2019,07,29,10,00,00,50.569
2019,07,29,10,30,00,47.81924
2019,07,29,11,00,00,44.67651
2019,07,29,11,30,00,44.97552
