Year,Month,Day,Hour,Minute,Second,HYY_META.WSU336
2018,01,04,06,00,00,4.28233
2018,01,04,06,30,00,3.68933
2018,01,04,07,00,00,3.98967
2018,01,04,07,30,00,3.50767
2018,01,04,08,00,00,3.54467
2018,01,04,08,30,00,3.264
2018,01,04,09,00,00,3.62167
2018,01,04,09,30,00,3.826
2018,01,04,10,00,00,3.40033
2018,01,04,10,30,00,3.454
2018,01,04,11,00,00,3.91067
2018,01,04,11,30,00,4.79733
2018,01,04,12,00,00,4.216
2018,01,04,12,30,00,3.64567
2018,01,04,13,00,00,3.38733
2018,01,04,13,30,00,4.11033
2018,01,04,14,00,00,4.49133
2018,01,04,14,30,00,4.69567
2018,01,04,15,00,00,4.20633
2018,01,04,15,30,00,4.343
2018,01,04,16,00,00,4.61267
2018,01,04,16,30,00,4.54033
2018,01,04,17,00,00,4.234
2018,01,04,17,30,00,4.314
2018,01,04,18,00,00,3.80167
2018,01,04,18,30,00,3.65967
2018,01,04,19,00,00,4.20067
2018,01,04,19,30,00,4.11567
2018,01,04,20,00,00,3.98833
2018,01,04,20,30,00,4.19033
2018,01,04,21,00,00,3.94067
2018,01,04,21,30,00,3.95233
2018,01,04,22,00,00,3.887
2018,01,04,22,30,00,4.209
2018,01,04,23,00,00,4.07533
2018,01,04,23,30,00,4.608
2018,01,05,00,00,00,4.35633
2018,01,05,00,30,00,4.792
2018,01,05,01,00,00,5.11033
2018,01,05,01,30,00,5.55467
2018,01,05,02,00,00,4.81167
2018,01,05,02,30,00,4.65
2018,01,05,03,00,00,4.63867
2018,01,05,03,30,00,4.582
2018,01,05,04,00,00,4.955
2018,01,05,04,30,00,4.84867
2018,01,05,05,00,00,4.819
2018,01,05,05,30,00,4.427
2018,01,05,06,00,00,4.27833
2018,01,05,06,30,00,4.551
2018,01,05,07,00,00,4.87767
2018,01,05,07,30,00,5.14167
2018,01,05,08,00,00,4.981
2018,01,05,08,30,00,4.564
2018,01,05,09,00,00,4.616
2018,01,05,09,30,00,4.54833
2018,01,05,10,00,00,4.60433
2018,01,05,10,30,00,4.45933
2018,01,05,11,00,00,4.79267
2018,01,05,11,30,00,4.11367
2018,01,05,12,00,00,3.78333
2018,01,05,12,30,00,3.99
2018,01,05,13,00,00,4.094
2018,01,05,13,30,00,4.02933
2018,01,05,14,00,00,3.77833
2018,01,05,14,30,00,3.20133
2018,01,05,15,00,00,2.68967
2018,01,05,15,30,00,3.012
2018,01,05,16,00,00,3.33167
2018,01,05,16,30,00,3.12767
2018,01,05,17,00,00,3.149
2018,01,05,17,30,00,4.08667
2018,01,05,18,00,00,3.68467
2018,01,05,18,30,00,3.74567
2018,01,05,19,00,00,3.959
2018,01,05,19,30,00,3.97433
2018,01,05,20,00,00,3.945
2018,01,05,20,30,00,4.22133
2018,01,05,21,00,00,4.08833
2018,01,05,21,30,00,4.002
2018,01,05,22,00,00,3.98833
2018,01,05,22,30,00,4.212
2018,01,05,23,00,00,4.045
2018,01,05,23,30,00,3.89967
2018,01,06,00,00,00,3.64333
2018,01,06,00,30,00,3.50933
2018,01,06,01,00,00,3.38367
2018,01,06,01,30,00,3.22033
2018,01,06,02,00,00,2.84567
2018,01,06,02,30,00,3.05433
2018,01,06,03,00,00,3.15
2018,01,06,03,30,00,2.96733
2018,01,06,04,00,00,2.55267
2018,01,06,04,30,00,2.19433
2018,01,06,05,00,00,1.80267
2018,01,06,05,30,00,1.471
2018,01,06,06,00,00,0.965
2018,01,06,06,30,00,0.81367
2018,01,06,07,00,00,0.61267
2018,01,06,07,30,00,0.59
2018,01,06,08,00,00,0.712
2018,01,06,08,30,00,0.87833
2018,01,06,09,00,00,1.30133
2018,01,06,09,30,00,2.17833
2018,01,06,10,00,00,2.73133
2018,01,06,10,30,00,2.77033
2018,01,06,11,00,00,3.27767
2018,01,06,11,30,00,3.651
2018,01,06,12,00,00,3.21267
2018,01,06,12,30,00,3.04833
2018,01,06,13,00,00,3.818
2018,01,06,13,30,00,3.65633
2018,01,06,14,00,00,4.02067
2018,01,06,14,30,00,4.14233
2018,01,06,15,00,00,3.66667
2018,01,06,15,30,00,4.082
2018,01,06,16,00,00,4.03133
2018,01,06,16,30,00,3.50733
2018,01,06,17,00,00,4.135
2018,01,06,17,30,00,4.454
2018,01,06,18,00,00,4.97667
2018,01,06,18,30,00,4.67933
2018,01,06,19,00,00,5.043
2018,01,06,19,30,00,4.16967
2018,01,06,20,00,00,3.98067
2018,01,06,20,30,00,4.15367
2018,01,06,21,00,00,3.93433
2018,01,06,21,30,00,4.023
2018,01,06,22,00,00,4.51033
2018,01,06,22,30,00,4.75633
2018,01,06,23,00,00,5.84133
2018,01,06,23,30,00,6.03233
2018,01,07,00,00,00,5.27
2018,01,07,00,30,00,4.63033
2018,01,07,01,00,00,4.541
2018,01,07,01,30,00,4.21733
2018,01,07,02,00,00,4.02767
2018,01,07,02,30,00,4.80133
2018,01,07,03,00,00,4.25167
2018,01,07,03,30,00,4.631
2018,01,07,04,00,00,4.96633
2018,01,07,04,30,00,4.71033
2018,01,07,05,00,00,4.7
2018,01,07,05,30,00,5.343
2018,01,07,06,00,00,5.316
2018,01,07,06,30,00,5.15333
2018,01,07,07,00,00,5.032
2018,01,07,07,30,00,4.80933
2018,01,07,08,00,00,5.38433
2018,01,07,08,30,00,5.16733
2018,01,07,09,00,00,5.07233
2018,01,07,09,30,00,4.929
2018,01,07,10,00,00,5.017
2018,01,07,10,30,00,5.443
2018,01,07,11,00,00,6.02433
2018,01,07,11,30,00,6.13833
2018,01,07,12,00,00,6.22
2018,01,07,12,30,00,6.10267
2018,01,07,13,00,00,6.17033
2018,01,07,13,30,00,5.83
2018,01,07,14,00,00,5.41467
2018,01,07,14,30,00,5.865
2018,01,07,15,00,00,4.85333
2018,01,07,15,30,00,5.15733
2018,01,07,16,00,00,5.31633
2018,01,07,16,30,00,5.226
2018,01,07,17,00,00,6.22033
2018,01,07,17,30,00,6.67533
2018,01,07,18,00,00,7.42833
2018,01,07,18,30,00,6.943
2018,01,07,19,00,00,7.01033
2018,01,07,19,30,00,6.64167
2018,01,07,20,00,00,7.324
2018,01,07,20,30,00,7.39033
2018,01,07,21,00,00,7.34133
2018,01,07,21,30,00,6.53567
2018,01,07,22,00,00,7.544
2018,01,07,22,30,00,7.90867
2018,01,07,23,00,00,8.28967
2018,01,07,23,30,00,8.30367
2018,01,08,00,00,00,7.585
2018,01,08,00,30,00,6.48633
2018,01,08,01,00,00,6.69967
2018,01,08,01,30,00,6.21267
2018,01,08,02,00,00,6.06867
2018,01,08,02,30,00,6.69667
2018,01,08,03,00,00,6.45567
2018,01,08,03,30,00,6.52933
2018,01,08,04,00,00,6.006
2018,01,08,04,30,00,5.61267
2018,01,08,05,00,00,5.66033
2018,01,08,05,30,00,5.93067
2018,01,08,06,00,00,5.72033
2018,01,08,06,30,00,5.11533
2018,01,08,07,00,00,5.101
2018,01,08,07,30,00,4.44067
2018,01,08,08,00,00,4.40667
2018,01,08,08,30,00,4.724
2018,01,08,09,00,00,4.569
2018,01,08,09,30,00,4.202
2018,01,08,10,00,00,4.24967
2018,01,08,10,30,00,4.89733
2018,01,08,11,00,00,4.801
2018,01,08,11,30,00,3.33767
2018,01,08,12,00,00,3.70833
2018,01,08,12,30,00,4.34
2018,01,08,13,00,00,3.722
2018,01,08,13,30,00,4.40167
2018,01,08,14,00,00,4.39067
2018,01,08,14,30,00,3.84633
2018,01,08,15,00,00,3.98567
2018,01,08,15,30,00,3.51167
2018,01,08,16,00,00,3.13
2018,01,08,16,30,00,3.32933
2018,01,08,17,00,00,3.53167
2018,01,08,17,30,00,3.61367
2018,01,08,18,00,00,3.184
2018,01,08,18,30,00,3.303
2018,01,08,19,00,00,3.313
2018,01,08,19,30,00,2.46067
2018,01,08,20,00,00,3.171
2018,01,08,20,30,00,2.69133
2018,01,08,21,00,00,2.48933
2018,01,08,21,30,00,2.893
2018,01,08,22,00,00,3.16467
2018,01,08,22,30,00,3.19233
2018,01,08,23,00,00,2.422
2018,01,08,23,30,00,2.21467
2018,01,09,00,00,00,2.36133
2018,01,09,00,30,00,2.71667
2018,01,09,01,00,00,3.29567
2018,01,09,01,30,00,3.34667
2018,01,09,02,00,00,2.966
2018,01,09,02,30,00,2.31933
2018,01,09,03,00,00,2.17267
2018,01,09,03,30,00,2.49067
2018,01,09,04,00,00,3.01133
2018,01,09,04,30,00,3.382
2018,01,09,05,00,00,2.67733
2018,01,09,05,30,00,3.34733
2018,01,09,06,00,00,3.64133
2018,01,09,06,30,00,4.32733
2018,01,09,07,00,00,4.189
2018,01,09,07,30,00,3.86367
2018,01,09,08,00,00,3.949
2018,01,09,08,30,00,3.556
2018,01,09,09,00,00,3.95433
2018,01,09,09,30,00,3.68967
2018,01,09,10,00,00,3.55667
2018,01,09,10,30,00,3.21833
2018,01,09,11,00,00,3.68233
2018,01,09,11,30,00,3.73133
2018,01,09,12,00,00,3.193
2018,01,09,12,30,00,3.10933
2018,01,09,13,00,00,4.00133
2018,01,09,13,30,00,3.991
2018,01,09,14,00,00,3.60433
2018,01,09,14,30,00,3.524
2018,01,09,15,00,00,3.402
2018,01,09,15,30,00,3.352
2018,01,09,16,00,00,3.56167
2018,01,09,16,30,00,2.997
2018,01,09,17,00,00,3.50433
2018,01,09,17,30,00,3.38133
2018,01,09,18,00,00,3.42767
2018,01,09,18,30,00,3.293
2018,01,09,19,00,00,3.552
2018,01,09,19,30,00,3.19833
2018,01,09,20,00,00,3.16633
2018,01,09,20,30,00,3.75667
2018,01,09,21,00,00,3.43533
2018,01,09,21,30,00,3.281
2018,01,09,22,00,00,2.97633
2018,01,09,22,30,00,3.42033
2018,01,09,23,00,00,3.361
