Year,Month,Day,Hour,Minute,Second,HYY_META.UV_B
2013,05,21,21,30,00,0.00089
2013,05,21,22,00,00,0.0004
2013,05,21,22,30,00,0.00024
2013,05,21,23,00,00,0.00021
2013,05,21,23,30,00,0.00023
2013,05,22,00,00,00,0.0002
2013,05,22,00,30,00,0.00023
2013,05,22,01,00,00,0.00023
2013,05,22,01,30,00,0.00028
2013,05,22,02,00,00,0.00035
2013,05,22,02,30,00,0.00075
2013,05,22,03,00,00,0.00219
2013,05,22,03,30,00,0.00569
2013,05,22,04,00,00,0.01273
2013,05,22,04,30,00,0.02376
2013,05,22,05,00,00,0.03953
2013,05,22,05,30,00,0.06321
2013,05,22,06,00,00,0.09782
2013,05,22,06,30,00,0.14694
2013,05,22,07,00,00,0.20671
2013,05,22,07,30,00,0.28512
2013,05,22,08,00,00,0.38034
2013,05,22,08,30,00,0.27233
2013,05,22,09,00,00,0.16431
2013,05,22,09,30,00,0.36585
2013,05,22,10,00,00,0.7691
2013,05,22,10,30,00,0.78454
2013,05,22,11,00,00,0.78154
2013,05,22,11,30,00,0.71015
2013,05,22,12,00,00,0.63474
2013,05,22,12,30,00,0.67946
2013,05,22,13,00,00,0.69008
2013,05,22,13,30,00,0.57576
2013,05,22,14,00,00,0.28431
2013,05,22,14,30,00,0.2517
2013,05,22,15,00,00,0.16607
2013,05,22,15,30,00,0.149
2013,05,22,16,00,00,0.11155
2013,05,22,16,30,00,0.06942
2013,05,22,17,00,00,0.05595
2013,05,22,17,30,00,0.04472
2013,05,22,18,00,00,0.04317
2013,05,22,18,30,00,0.03453
2013,05,22,19,00,00,0.01273
2013,05,22,19,30,00,0.00438
2013,05,22,20,00,00,0.00481
2013,05,22,20,30,00,0.00442
2013,05,22,21,00,00,0.00218
2013,05,22,21,30,00,0.00091
2013,05,22,22,00,00,0.0004
2013,05,22,22,30,00,0.00027
2013,05,22,23,00,00,0.00021
2013,05,22,23,30,00,0.00022
2013,05,23,00,00,00,0.00023
2013,05,23,00,30,00,0.00022
2013,05,23,01,00,00,0.00023
2013,05,23,01,30,00,0.00026
2013,05,23,02,00,00,0.00034
2013,05,23,02,30,00,0.00075
2013,05,23,03,00,00,0.00219
2013,05,23,03,30,00,0.00565
2013,05,23,04,00,00,0.0123
2013,05,23,04,30,00,0.02258
2013,05,23,05,00,00,0.03944
2013,05,23,05,30,00,0.065
2013,05,23,06,00,00,0.09867
2013,05,23,06,30,00,0.1515
2013,05,23,07,00,00,0.20514
2013,05,23,07,30,00,0.25168
2013,05,23,08,00,00,0.3679
2013,05,23,08,30,00,0.47221
2013,05,23,09,00,00,0.46991
2013,05,23,09,30,00,0.57909
2013,05,23,10,00,00,0.53735
2013,05,23,10,30,00,0.52594
2013,05,23,11,00,00,0.7395
2013,05,23,11,30,00,0.63507
2013,05,23,12,00,00,0.56611
2013,05,23,12,30,00,0.4173
2013,05,23,13,00,00,0.47809
2013,05,23,13,30,00,0.29232
2013,05,23,14,00,00,0.25249
2013,05,23,14,30,00,0.1885
2013,05,23,15,00,00,0.18599
2013,05,23,15,30,00,0.14493
2013,05,23,16,00,00,0.15249
2013,05,23,16,30,00,0.14739
2013,05,23,17,00,00,0.09811
2013,05,23,17,30,00,0.06418
2013,05,23,18,00,00,0.05671
2013,05,23,18,30,00,0.03655
2013,05,23,19,00,00,0.02223
2013,05,23,19,30,00,0.0202
2013,05,23,20,00,00,0.01076
2013,05,23,20,30,00,0.00407
2013,05,23,21,00,00,0.00169
2013,05,23,21,30,00,0.00059
2013,05,23,22,00,00,0.00033
2013,05,23,22,30,00,0.00029
2013,05,23,23,00,00,0.00026
2013,05,23,23,30,00,0.00026
2013,05,24,00,00,00,0.00024
2013,05,24,00,30,00,0.00024
2013,05,24,01,00,00,0.00025
2013,05,24,01,30,00,0.00026
2013,05,24,02,00,00,0.00028
2013,05,24,02,30,00,0.00041
2013,05,24,03,00,00,0.00076
2013,05,24,03,30,00,0.00153
2013,05,24,04,00,00,0.00316
2013,05,24,04,30,00,0.00681
2013,05,24,05,00,00,0.01009
2013,05,24,05,30,00,0.01592
2013,05,24,06,00,00,0.02211
2013,05,24,06,30,00,0.02914
2013,05,24,07,00,00,0.05019
2013,05,24,07,30,00,0.08103
2013,05,24,08,00,00,0.06652
2013,05,24,08,30,00,0.09923
2013,05,24,09,00,00,0.09303
