Year,Month,Day,Hour,Minute,Second,HYY_META.WDU336
2011,01,04,06,30,00,133.5
2011,01,04,07,00,00,104.66667
2011,01,04,07,30,00,110.33333
2011,01,04,08,00,00,127
2011,01,04,08,30,00,130.76667
2011,01,04,09,00,00,184.60714
2011,01,04,09,30,00,150.21429
2011,01,04,10,00,00,162
2011,01,04,10,30,00,151.96296
2011,01,04,11,00,00,176.77778
2011,01,04,11,30,00,229.93103
2011,01,04,12,00,00,124.35
2011,01,04,12,30,00,75.3
2011,01,04,13,00,00,79.06667
2011,01,04,13,30,00,79.83333
2011,01,04,14,00,00,74.33333
2011,01,04,14,30,00,60.1
2011,01,04,15,00,00,66.86667
2011,01,04,15,30,00,69
2011,01,04,16,00,00,73.43333
2011,01,04,16,30,00,67.43333
2011,01,04,17,00,00,80.96667
2011,01,04,17,30,00,82.9
2011,01,04,18,00,00,83.36667
2011,01,04,18,30,00,73.33333
2011,01,04,19,00,00,75.76667
2011,01,04,19,30,00,82.1
2011,01,04,20,00,00,99.23333
2011,01,04,20,30,00,81.23333
2011,01,04,21,00,00,76.83333
2011,01,04,21,30,00,95.76667
2011,01,04,22,00,00,98.53333
2011,01,04,22,30,00,90.23333
2011,01,04,23,00,00,80.86667
2011,01,04,23,30,00,72.46667
2011,01,05,00,00,00,69.8
2011,01,05,00,30,00,72.43333
2011,01,05,01,00,00,74.13333
2011,01,05,01,30,00,83.56667
2011,01,05,02,00,00,77.7
2011,01,05,02,30,00,81.8
2011,01,05,03,00,00,90.1
2011,01,05,03,30,00,93.33333
2011,01,05,04,00,00,80.06667
2011,01,05,04,30,00,92.4
2011,01,05,05,00,00,103.26667
2011,01,05,05,30,00,96.56667
2011,01,05,06,00,00,96.4
2011,01,05,06,30,00,104.8
2011,01,05,07,00,00,104.83333
2011,01,05,07,30,00,101.1
2011,01,05,08,00,00,98.23333
2011,01,05,08,30,00,93.83333
2011,01,05,09,00,00,93.3
2011,01,05,09,30,00,91.86667
2011,01,05,10,00,00,96.43333
2011,01,05,10,30,00,103.66667
2011,01,05,11,00,00,99.96667
2011,01,05,11,30,00,94.1
2011,01,05,12,00,00,97.5
2011,01,05,12,30,00,105.53333
2011,01,05,13,00,00,107.1
2011,01,05,13,30,00,106.33333
2011,01,05,14,00,00,97.46667
2011,01,05,14,30,00,101.93333
2011,01,05,15,00,00,101.5
2011,01,05,15,30,00,89.26667
2011,01,05,16,00,00,90.56667
2011,01,05,16,30,00,101.96667
2011,01,05,17,00,00,103
2011,01,05,17,30,00,109.43333
2011,01,05,18,00,00,109.86667
2011,01,05,18,30,00,118.56667
2011,01,05,19,00,00,123.36667
2011,01,05,19,30,00,110.06667
2011,01,05,20,00,00,108.23333
2011,01,05,20,30,00,100.36667
2011,01,05,21,00,00,111.03333
2011,01,05,21,30,00,133.65517
2011,01,05,22,00,00,130.5
2011,01,05,22,30,00,127.06897
2011,01,05,23,00,00,120.5
2011,01,05,23,30,00,120.73333
2011,01,06,00,00,00,118.5
2011,01,06,00,30,00,118
2011,01,06,01,00,00,112.96667
2011,01,06,01,30,00,108.43333
2011,01,06,02,00,00,110.16667
2011,01,06,02,30,00,105.8
2011,01,06,03,00,00,109.23333
2011,01,06,03,30,00,116.93333
2011,01,06,04,00,00,126.16667
2011,01,06,04,30,00,124.73333
2011,01,06,05,00,00,125.9
2011,01,06,05,30,00,119.83333
2011,01,06,06,00,00,123.83333
2011,01,06,06,30,00,124.03333
2011,01,06,07,00,00,126.56667
2011,01,06,07,30,00,121.23333
2011,01,06,08,00,00,124.4
2011,01,06,08,30,00,127.46667
2011,01,06,09,00,00,127.03333
2011,01,06,09,30,00,127.33333
2011,01,06,10,00,00,127.86667
2011,01,06,10,30,00,126.4
2011,01,06,11,00,00,127.76667
2011,01,06,11,30,00,128.9
2011,01,06,12,00,00,126.23333
2011,01,06,12,30,00,123.86667
2011,01,06,13,00,00,129.33333
2011,01,06,13,30,00,134.53333
2011,01,06,14,00,00,126.33333
2011,01,06,14,30,00,129.26667
2011,01,06,15,00,00,124.53333
2011,01,06,15,30,00,121.63333
2011,01,06,16,00,00,125.7
2011,01,06,16,30,00,128.6
2011,01,06,17,00,00,128.56667
2011,01,06,17,30,00,132.1
2011,01,06,18,00,00,134.1
2011,01,06,18,30,00,134.76667
2011,01,06,19,00,00,136.31034
2011,01,06,19,30,00,136.43333
2011,01,06,20,00,00,133.3
2011,01,06,20,30,00,135.26667
2011,01,06,21,00,00,138.58621
2011,01,06,21,30,00,140.60714
2011,01,06,22,00,00,141.92593
2011,01,06,22,30,00,140.06897
2011,01,06,23,00,00,137.48148
2011,01,06,23,30,00,138.89655
2011,01,07,00,00,00,138.41379
2011,01,07,00,30,00,140.68966
2011,01,07,01,00,00,141.71429
2011,01,07,01,30,00,141.81481
2011,01,07,02,00,00,142.82759
2011,01,07,02,30,00,141.21429
2011,01,07,03,00,00,144.61538
2011,01,07,03,30,00,147.61111
2011,01,07,04,00,00,147.13636
2011,01,07,04,30,00,144.7037
2011,01,07,05,00,00,145.57692
2011,01,07,05,30,00,140
2011,01,07,06,00,00,140.27586
2011,01,07,06,30,00,140.92857
2011,01,07,07,00,00,142.06667
2011,01,07,07,30,00,139.89286
2011,01,07,08,00,00,136
2011,01,07,08,30,00,138.9
2011,01,07,09,00,00,142.10714
2011,01,07,09,30,00,140.37931
2011,01,07,10,00,00,138.66667
2011,01,07,10,30,00,139.24138
2011,01,07,11,00,00,137.62069
2011,01,07,11,30,00,138.23333
2011,01,07,12,00,00,138.17857
2011,01,07,12,30,00,135.55556
2011,01,07,13,00,00,135.68966
2011,01,07,13,30,00,131.56667
2011,01,07,14,00,00,133.62069
2011,01,07,14,30,00,140.24138
2011,01,07,15,00,00,136.10345
2011,01,07,15,30,00,133.66667
2011,01,07,16,00,00,132.6
2011,01,07,16,30,00,132.83333
2011,01,07,17,00,00,136
2011,01,07,17,30,00,137.96552
2011,01,07,18,00,00,138.89655
2011,01,07,18,30,00,140.93333
2011,01,07,19,00,00,140.78571
2011,01,07,19,30,00,142.2069
2011,01,07,20,00,00,149.20833
2011,01,07,20,30,00,159.16667
2011,01,07,21,00,00,188.0625
2011,01,07,21,30,00,204.96552
2011,01,07,22,00,00,229.83333
2011,01,07,22,30,00,245.13333
2011,01,07,23,00,00,248.73333
2011,01,07,23,30,00,251.7
2011,01,08,00,00,00,250.53333
2011,01,08,00,30,00,251.4
2011,01,08,01,00,00,249.86667
2011,01,08,01,30,00,256.36667
2011,01,08,02,00,00,250.63333
2011,01,08,02,30,00,248.13333
2011,01,08,03,00,00,251.46667
2011,01,08,03,30,00,249.9
2011,01,08,04,00,00,248.56667
2011,01,08,04,30,00,248.13333
2011,01,08,05,00,00,244.33333
2011,01,08,05,30,00,243.06667
2011,01,08,06,00,00,238.43333
2011,01,08,06,30,00,235.8
2011,01,08,07,00,00,230.36667
2011,01,08,07,30,00,229.1
2011,01,08,08,00,00,225.86667
2011,01,08,08,30,00,222.96667
2011,01,08,09,00,00,211.06667
2011,01,08,09,30,00,213.36667
2011,01,08,10,00,00,207.63333
2011,01,08,10,30,00,212.53333
2011,01,08,11,00,00,205.34483
2011,01,08,11,30,00,203.22222
2011,01,08,12,00,00,199.10714
2011,01,08,12,30,00,195.11765
2011,01,08,13,00,00,192.9
2011,01,08,13,30,00,177.25
2011,01,08,14,00,00,177.42857
2011,01,08,14,30,00,169.6
2011,01,08,15,00,00,167.30769
2011,01,08,15,30,00,149.86364
2011,01,08,16,00,00,152.17647
2011,01,08,16,30,00,148.5
2011,01,08,17,00,00,146.67857
2011,01,08,17,30,00,128.83333
2011,01,08,18,00,00,137.03448
2011,01,08,18,30,00,142.96552
2011,01,08,19,00,00,143.6
2011,01,08,19,30,00,144.51852
2011,01,08,20,00,00,143.7037
2011,01,08,20,30,00,140.57143
2011,01,08,21,00,00,138.26667
2011,01,08,21,30,00,141.21429
2011,01,08,22,00,00,139.4
2011,01,08,22,30,00,142.56667
2011,01,08,23,00,00,140.36667
2011,01,08,23,30,00,135.53333
2011,01,09,00,00,00,133.53333
2011,01,09,00,30,00,133.56667
2011,01,09,01,00,00,137.41379
2011,01,09,01,30,00,140
2011,01,09,02,00,00,139.96667
2011,01,09,02,30,00,142.51724
2011,01,09,03,00,00,142.03333
2011,01,09,03,30,00,142.85185
2011,01,09,04,00,00,143.35714
2011,01,09,04,30,00,143.68966
2011,01,09,05,00,00,143.85714
2011,01,09,05,30,00,146.78571
2011,01,09,06,00,00,146.76923
2011,01,09,06,30,00,147.42857
2011,01,09,07,00,00,146.79167
2011,01,09,07,30,00,150.27273
2011,01,09,08,00,00,148.04762
2011,01,09,08,30,00,150.12
2011,01,09,09,00,00,149.43478
2011,01,09,09,30,00,151.55
2011,01,09,10,00,00,156.47059
2011,01,09,10,30,00,153
2011,01,09,11,00,00,157.14286
2011,01,09,11,30,00,164.25
2011,01,09,12,00,00,167.85714
2011,01,09,12,30,00,168.75
2011,01,09,13,00,00,164.45455
2011,01,09,13,30,00,168.58333
2011,01,09,14,00,00,171.5
2011,01,09,14,30,00,171.8
2011,01,09,15,00,00,187
2011,01,09,15,30,00,188.5
2011,01,09,16,00,00,190.5
2011,01,09,16,30,00,193.93103
2011,01,09,17,00,00,196
2011,01,09,17,30,00,194.76667
2011,01,09,18,00,00,198.2069
2011,01,09,18,30,00,194.14286
2011,01,09,19,00,00,191.63333
2011,01,09,19,30,00,194.63333
2011,01,09,20,00,00,194.86667
2011,01,09,20,30,00,196.55172
2011,01,09,21,00,00,187
2011,01,09,21,30,00,169.55172
2011,01,09,22,00,00,169.07692
2011,01,09,22,30,00,162.11111
2011,01,09,23,00,00,160.92593
2011,01,09,23,30,00,161.33333
2011,01,10,00,00,00,163.43333
2011,01,10,00,30,00,169.55556
2011,01,10,01,00,00,180.13333
2011,01,10,01,30,00,182.81481
2011,01,10,02,00,00,180.14286
2011,01,10,02,30,00,188.03846
2011,01,10,03,00,00,200.34483
2011,01,10,03,30,00,215.16667
2011,01,10,04,00,00,216.16667
2011,01,10,04,30,00,210.7
2011,01,10,05,00,00,209.16667
2011,01,10,05,30,00,200.7931
2011,01,10,06,00,00,211.96667
2011,01,10,06,30,00,200.06667
2011,01,10,07,00,00,188.44444
2011,01,10,07,30,00,187.46429
2011,01,10,08,00,00,189.48
2011,01,10,08,30,00,192.18519
2011,01,10,09,00,00,195.31034
2011,01,10,09,30,00,198.13333
2011,01,10,10,00,00,204.61905
2011,01,10,10,30,00,204.26667
2011,01,10,11,00,00,203.23333
2011,01,10,11,30,00,206.13333
2011,01,10,12,00,00,206.8
2011,01,10,12,30,00,206.06667
2011,01,10,13,00,00,209.7
2011,01,10,13,30,00,208.16667
2011,01,10,14,00,00,213.83333
2011,01,10,14,30,00,215.5
2011,01,10,15,00,00,215
2011,01,10,15,30,00,215.23333
2011,01,10,16,00,00,215.86667
2011,01,10,16,30,00,214.16667
2011,01,10,17,00,00,214.9
2011,01,10,17,30,00,218.23333
2011,01,10,18,00,00,217.72414
2011,01,10,18,30,00,218.13333
2011,01,10,19,00,00,220.43333
2011,01,10,19,30,00,218.96667
2011,01,10,20,00,00,216.66667
2011,01,10,20,30,00,209
2011,01,10,21,00,00,210.2
2011,01,10,21,30,00,212.33333
2011,01,10,22,00,00,217.73333
2011,01,10,22,30,00,223.4
2011,01,10,23,00,00,224.7
2011,01,10,23,30,00,223.3
2011,01,11,00,00,00,212.8
2011,01,11,00,30,00,216.2
2011,01,11,01,00,00,222.13333
2011,01,11,01,30,00,221.86667
2011,01,11,02,00,00,223.96667
2011,01,11,02,30,00,226.53333
2011,01,11,03,00,00,231.06667
2011,01,11,03,30,00,229.4
2011,01,11,04,00,00,228.66667
2011,01,11,04,30,00,233.3
2011,01,11,05,00,00,231.9
2011,01,11,05,30,00,230.1
2011,01,11,06,00,00,230.13333
2011,01,11,06,30,00,229.2
2011,01,11,07,00,00,230.66667
2011,01,11,07,30,00,229.83333
2011,01,11,08,00,00,229.63333
2011,01,11,08,30,00,226.46667
2011,01,11,09,00,00,223.93333
2011,01,11,09,30,00,220.03333
2011,01,11,10,00,00,223
2011,01,11,10,30,00,223.26667
2011,01,11,11,00,00,221.53333
2011,01,11,11,30,00,223.1
2011,01,11,12,00,00,220.6
2011,01,11,12,30,00,220.66667
2011,01,11,13,00,00,216.2
2011,01,11,13,30,00,212.83333
2011,01,11,14,00,00,213
2011,01,11,14,30,00,211.76667
2011,01,11,15,00,00,215.86667
2011,01,11,15,30,00,216.03448
2011,01,11,16,00,00,217.43333
2011,01,11,16,30,00,217.96667
2011,01,11,17,00,00,218.5
2011,01,11,17,30,00,221.03333
2011,01,11,18,00,00,223.16667
2011,01,11,18,30,00,223.9
2011,01,11,19,00,00,222.8
